,precision,recall,f1-score,support
stand,0.65506904145837,0.8727408630460975,0.748398762060108,89636.0
move,0.9374049886290391,0.6980587843742784,0.8002180147679051,220841.0
anomaly,0.0007130258565692198,0.4222222222222222,0.0014236475348419003,45.0
accuracy,0.748442944461262,0.748442944461262,0.748442944461262,0.748442944461262
macro avg,0.5310623519813261,0.6643406232141994,0.516680141454285,310522.0
weighted avg,0.8557694971053632,0.748442944461262,0.7851439901183099,310522.0
