,precision,recall,f1-score,support
stand,0.35104568278192794,0.7323843098754964,0.4746044541159545,89636.0
move,0.8819802712285949,0.23765514555721085,0.3744203632628019,220841.0
anomaly,0.0005155605549306336,0.7333333333333333,0.0010303967027305513,45.0
accuracy,0.380536644746588,0.380536644746588,0.380536644746588,0.380536644746588
macro avg,0.4111805048551512,0.5677909295886802,0.28335173802716235,310522.0
weighted avg,0.7285917232932287,0.380536644746588,0.4032856244012011,310522.0
