filename,valid_points_count,geographic_diff_mean,geographic_diff_min,geographic_diff_max,geographic_diff_25p,geographic_diff_50p,geographic_diff_75p,geographic_diff_90p,geographic_diff_95p,magnetic_diff_mean,magnetic_diff_min,magnetic_diff_max,magnetic_diff_25p,magnetic_diff_50p,magnetic_diff_75p,magnetic_diff_90p,magnetic_diff_95p
1_part_1.csv,995979,-10.3654706156269,-180.0,179.99999521049278,-60.00000478976395,-5.333921653875734,30.0,130.0,160.0,-2.5901943118007225,-179.8072386202906,179.80941895430294,-53.669476694805326,4.011198341899785,39.75019992914986,136.33100309685324,166.33201172340776
1_part_2.csv,454842,-5.2693590990243795,-180.0,179.99999471480953,-10.0,-4.7192058695213746,0.35972087434676325,90.0,120.0,2.800372976321059,-178.60243325064,179.84618041081103,-2.191912850201561,3.4472838016793617,9.095363238581982,97.69593302296153,127.69581525766125
2_part_1.csv,656759,-48.71488205051353,-180.0,179.9950546615412,-180.0,-2.1530912692131494,1.6049573512163136,55.882579195577286,112.50140294458741,-31.93350459953704,-179.99902813207063,179.99778719011493,-157.07735811987232,6.609956387509385,13.949843334046648,94.07209491097869,155.65311882666856
3_part_1.csv,997357,-114.42743632470622,-179.999185894507,179.99531781333098,-176.091,-176.086,-77.785553709287,86.54084350562326,131.3993273406504,-104.24637707476755,-179.99975983163876,179.99968179277033,-164.27975546394558,-161.5391895517204,-71.60179736491472,92.63719257435751,139.8014712684294
3_part_2.csv,962462,-108.41781073660876,-180.0,179.9984285465083,-176.089,-176.084,-66.03176515254896,93.91369857719997,140.4817926756708,-99.21947271648155,-179.9989009648637,179.99940165678436,-161.5417174676572,-161.52357439928338,-61.09568841944382,94.80443467152588,144.95875056511704
3_part_3.csv,95904,-76.78284206849132,-179.99495883979947,179.9716200573239,-176.086,-176.078,46.82383974166143,101.19206612607604,137.98908897264715,-73.73865567874792,-179.99873397326374,179.99778633680853,-166.1265491035572,-165.8625906367489,40.19880219129766,104.00226765987763,132.72396531075165
4_part_1.csv,522037,-6.150651540906447,-180.0,179.9999986951446,-46.39999399999999,0.0,34.23802937768028,113.29999834757172,145.61791083673108,-0.8594422066639198,-179.99562459824108,179.98881147710756,-43.46770094319436,7.60548039115838,38.50449346282306,116.27807750553694,150.18994223511365
4_part_2.csv,719989,-7.671567986298096,-180.0,179.9549271862311,-15.653874663995111,0.0,7.777155336477506,89.99999717824437,131.86948409957694,-1.045156451061229,-179.99259250563023,179.99943310624326,-9.73546352734985,7.918264161257525,14.968064911152936,97.81435306183225,136.60450289496228
4_part_3.csv,709418,-5.994210324618456,-180.0,179.9917473241561,-1.9623311445258054,-0.030504533447555104,1.5799551199540076,39.81299063705766,89.99999909908257,0.34197732883506815,-179.9962408995102,179.98430510435128,4.421781575196462,6.588769544744963,9.086982269857543,44.78469069099977,98.81017285426374
4_part_4.csv,688495,-8.278792812401756,-180.0,179.980011,-9.122961717447083,-0.0482323707024932,4.748145888346002,89.99999481322888,129.7262016868492,-1.9997891339766543,-179.99484960121276,179.98412822005264,-2.3009550915843704,6.783812464851621,12.109661255313497,95.86542356284743,134.6965987645948
4_part_5.csv,687375,-10.75800402533701,-180.0,179.98000017551215,-30.913459547004578,-0.195846681734821,10.42259273964865,89.99999764378296,131.81707476485647,-4.12973826803187,-179.98624709970443,179.99488476539966,-25.461717481347137,7.05878872278123,17.761709640217873,97.80235475759935,136.5832905189344
4_part_6.csv,545027,-12.41233369250124,-180.0,179.9792962692668,-76.26334875659686,-0.48200170619188043,35.429686836268814,114.9619579364356,144.56967525621087,-6.364092864550605,-179.98914913186468,179.98163037994334,-72.10856525269665,5.5158754212723125,43.054234825430115,118.75943430321688,152.35553108166948
5_part_1.csv,997357,-50.75047697715066,-180.0,179.9999988762363,-132.0,-7.641994169945917,2.991335038581667,34.0,94.0,-37.85143409647591,-179.871477785038,179.80425477613812,-118.19163993920665,5.434269812925265,16.51726783551908,45.80832329273028,104.6488683988515
5_part_2.csv,962462,-16.813293642946835,-180.0,179.99999887043987,-51.0,-0.7565137230709524,17.193819338824852,71.0,90.0,-3.5760636977358975,-179.94604956521175,179.65288449382717,-39.191533980487975,13.211509416201466,29.654178601094486,85.5531762477342,104.55282644722604
5_part_3.csv,95904,-2.9831833368430027,-180.0,179.9999988704422,-8.56104403458211,0.0,9.0,52.0,120.0,6.194636686534019,-179.76793981607875,179.97456755528663,1.053380436513379,9.990895761204882,19.155057051549647,62.21940936325109,129.95497614134615
