filename,valid_points_count,speed_derived_mean_mps,speed_derived_min_mps,speed_derived_max_mps,speed_derived_25p_mps,speed_derived_50p_mps,speed_derived_75p_mps,speed_derived_90p_mps,speed_derived_95p_mps,speed_diff_mean_mps,speed_diff_min_mps,speed_diff_max_mps,speed_diff_25p_mps,speed_diff_50p_mps,speed_diff_75p_mps,speed_diff_90p_mps,speed_diff_95p_mps
1_part_1.csv,995979,0.9740687617761089,0.0,144.61470451750964,0.0,0.0,1.9159524723678651,3.931519963864529,4.479030804725953,2.1643396869612648,-144.61470451750964,38.46451310405469,0.0,0.0,3.788774805991669,9.211856248121652,10.410724912796796
1_part_2.csv,454842,2.176341647443658,0.0,7.582076250790072,0.0,2.1903338555333622,4.274905825069601,4.82740140806903,5.068883122112037,5.1086712326905435,-4.672426924434927,20.315761544704888,0.0,4.946074614213668,10.336025810922001,11.809223774783487,12.038811670710178
2_part_1.csv,656759,1431.0697274908466,0.0,1880302.7600795154,0.0,0.09175873246771332,3.382379281188526,6.35664173080735,44.87882178028908,-1417.4112989723567,-1880302.7600795154,1395.5076068818794,0.0,0.011127907766135654,7.603936787747773,10.803550358932606,71.00014082354602
3_part_1.csv,997357,1.4324087117405144,0.0,19344.370990237014,0.0,0.0,2.2537333906133696,3.3506379950253478,3.834362400012101,3.053344433385054,-19331.070990237014,1221.1902916186912,0.0,0.0,5.512690850997505,8.831131014248099,10.299685574573378
3_part_2.csv,962462,3.246128650948376,0.0,49623.108462928816,0.0,0.0,2.466702545603923,3.313679295716578,3.826535901586039,3.744989852721379,-49618.30846292881,2120.090269721186,0.0,0.0,6.3191877696502665,8.654762677866396,10.197342470490401
3_part_3.csv,95904,42.41698533108314,0.0,70533.36522951775,0.0,0.07316317413769141,3.655484836878256,54.08544000590993,154.46493994108437,28.960331580213577,-70515.96522951775,1183.3499197707824,0.0,0.0,16.210348995953172,143.74524180684395,365.8832257387427
4_part_1.csv,522037,1.6898212424346213,0.0,340660.4629076398,0.01685385391684472,0.12231441929752007,0.6782890525259377,2.881564264420075,3.3723297431662926,1.9337500862757966,-340660.0406516398,674.9093986145812,0.0,0.14432457373184004,1.715141129376232,7.4782616921941765,8.743019775943715
4_part_2.csv,719989,3.8440752130180162,0.0,27595.905517645908,0.126271761887417,0.6338110818337128,3.3376144784319983,4.276835591390433,26.856083838993058,9.289325091813028,-27595.799953645906,870.1003842772245,0.18317650673869346,1.2294307485070917,8.64798982711304,10.55620211499721,72.16112049281351
4_part_3.csv,709418,4.329163966770446,0.0,34283.47795509561,0.30098531990575716,3.1867871367995684,3.634221381077529,4.064615063571868,25.842135009850022,10.392739219836042,-34282.98717509561,683.6047350056538,0.48014945029601963,8.296171093521266,9.445736000044867,10.488422031999345,71.68203695736366
4_part_4.csv,688495,2.9474172658764815,0.0,47431.69637151712,0.12628280474178238,1.1486497523776502,3.2684761411887306,3.793433109782427,4.564616918574083,6.667471887110832,-47123.379110517126,740.7481652861683,0.21105619766892622,2.5140176087716783,8.503899457056427,9.865618834950233,11.110654703218387
4_part_5.csv,687375,3.8938071049328444,0.0,19054.676963749058,0.09446395731479196,0.35186383542374966,3.1972135690153465,4.33844024319067,26.776510159286087,8.824500849004961,-18957.26176474906,696.5545017137812,0.14377443872677356,0.8625529634834519,8.337176735004217,10.717758301757797,70.95043489561462
4_part_6.csv,545027,3.8495997637086186,0.0,36821.00938594654,0.058521222691243525,0.12631484198923754,2.202051344363859,3.51431418986764,25.925492925398864,7.059575006768806,-36806.73602294654,610.087881204502,0.08883605868628247,0.317165809538832,5.672310948207637,9.07495762962132,70.04350979696595
5_part_1.csv,997357,1.4324087117405144,0.0,19344.370990237014,0.0,0.0,2.2537333906133696,3.3506379950253478,3.834362400012101,3.053344433385054,-19331.070990237014,1221.1902916186912,0.0,0.0,5.512690850997505,8.831131014248099,10.299685574573378
5_part_2.csv,962462,3.246128650948376,0.0,49623.108462928816,0.0,0.0,2.466702545603923,3.313679295716578,3.826535901586039,3.744989852721379,-49618.30846292881,2120.090269721186,0.0,0.0,6.3191877696502665,8.654762677866396,10.197342470490401
5_part_3.csv,95904,42.41698533108314,0.0,70533.36522951775,0.0,0.07316317413769141,3.655484836878256,54.08544000590993,154.46493994108437,28.960331580213577,-70515.96522951775,1183.3499197707824,0.0,0.0,16.210348995953172,143.74524180684395,365.8832257387427
