metric,title,scheme,status,kind,model,count,mean,variance,std,min,p05,p25,p50,p75,p95,max,display_percentile,display_min,display_max,file
3_status__anomaly__log_likelihood__CV,Логарифм правдоподобия,3_status,anomaly,log_likelihood,CV,45,-9287.475448936952,1689914066.2478743,41108.56439049987,-252057.32325752478,-18084.005276283075,-32.9292553871387,-15.950964481729692,-12.766297881510823,-11.29188549929275,-8.280838098644058,95.0,-115214.03456934149,-8.597129346906344,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\anomaly\log_likelihood\CV.png
3_status__anomaly__mahalanobis__CV,Квадрат расстояния Махаланобиса,3_status,anomaly,mahalanobis,CV,45,18550.76995148311,6760213453.4438925,82220.51722924085,0.0,1.7613262870683163e-05,0.5138413184119199,2.3720213044750924,25.155754053921022,36153.07848416291,504106.32126109436,95.0,1.9234432282714806e-06,230419.3257834501,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\anomaly\mahalanobis\CV.png
3_status__anomaly__filter_distance__CV,"Расстояние между измерением и оценкой фильтра, м",3_status,anomaly,filter_distance,CV,45,4.135620732232965,292.1118802389285,17.091280824997536,0.0,3.092041429359821e-10,0.0015016816334141,0.005898001315462732,0.35812671147247843,8.867353356064907,95.74000648620692,95.0,8.221293305720709e-11,61.9972425990079,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\anomaly\filter_distance\CV.png
3_status__anomaly__sqrt_mahalanobis__CV,Корень из квадрата расстояния Махаланобиса,3_status,anomaly,sqrt_mahalanobis,CV,45,40.485583177386,16911.68750627007,130.04494417804204,0.0,0.004079964063461705,0.7168272584185955,1.5401367810928652,5.015551221343575,188.49787801946408,710.0044515783646,95.0,0.0011153325360093798,471.4749682809119,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\anomaly\sqrt_mahalanobis\CV.png
3_status__anomaly__log1p_filter_distance__CV,log(1 + расстояние между измерением и фильтром),3_status,anomaly,log1p_filter_distance,CV,45,0.3956535551674588,0.9759565887775254,0.9879051517111982,0.0,3.0920414288541144e-10,0.0015005552370681672,0.005880676194716859,0.3061063322007798,2.2861199151856773,4.572027034442663,95.0,8.221293305182638e-11,4.041493660628354,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\anomaly\log1p_filter_distance\CV.png
3_status__move__log_likelihood__CV,Логарифм правдоподобия,3_status,move,log_likelihood,CV,220841,-156.59656150846217,1288129317.8207753,35890.51849473305,-16595641.4721512,-12.546236935451429,-12.516099206351502,-12.50706243445233,-12.491773599055367,-4.837025357116216,-4.078879574738961,95.0,-12.622445170308438,-4.404533149396763,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\move\log_likelihood\CV.png
3_status__move__mahalanobis__CV,Квадрат расстояния Махаланобиса,3_status,move,mahalanobis,CV,220841,290.63987426305044,5152525045.509432,71781.09114181416,0.0,0.0,0.0003260979738034044,0.0024529904956166427,0.023738846833442236,0.8372521473252476,33191274.715800107,95.0,0.0,3.2827515228705932,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\move\mahalanobis\CV.png
3_status__move__filter_distance__CV,"Расстояние между измерением и оценкой фильтра, м",3_status,move,filter_distance,CV,220841,0.06330263531301057,4.88519441294555,2.210247590869754,0.0,0.0,3.8410300588112784e-05,0.00011061334902616801,0.00042791556413799577,0.06274952637948299,795.8826278220688,95.0,0.0,0.13262634568740822,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\move\filter_distance\CV.png
3_status__move__sqrt_mahalanobis__CV,Корень из квадрата расстояния Махаланобиса,3_status,move,sqrt_mahalanobis,CV,220841,0.9404992855576471,289.755335356916,17.02220124886661,0.0,0.0,0.018058183015004704,0.04952767403802285,0.15407416017438563,0.915014834483708,5761.186919012444,95.0,0.0,1.8118365055574395,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\move\sqrt_mahalanobis\CV.png
3_status__move__log1p_filter_distance__CV,log(1 + расстояние между измерением и фильтром),3_status,move,log1p_filter_distance,CV,220841,0.01789481806014421,0.02253690736056035,0.1501229741264153,0.0,0.0,3.8409562931406165e-05,0.00011060723182076885,0.0004278240343833868,0.0608594426010367,6.680707400469848,95.0,0.0,0.12453913567319552,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\move\log1p_filter_distance\CV.png
3_status__stand__log_likelihood__CV,Логарифм правдоподобия,3_status,stand,log_likelihood,CV,89626,-13.110384971324002,16052.893763003987,126.70001485005433,-19590.027396845428,-12.546236935451429,-12.515730342018056,-12.501996479073988,-12.102508341149381,-4.794064297724654,-3.5858208843142654,95.0,-12.571807808617306,-4.332233824714803,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\stand\log_likelihood\CV.png
3_status__stand__mahalanobis__CV,Квадрат расстояния Махаланобиса,3_status,stand,mahalanobis,CV,89626,3.7129684969146806,64213.99235288631,253.4047993880272,0.0,0.0,0.0,0.0,0.013250283943121943,0.796450177628838,39170.37146466934,95.0,0.0,2.322230555355611,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\stand\mahalanobis\CV.png
3_status__stand__filter_distance__CV,"Расстояние между измерением и оценкой фильтра, м",3_status,stand,filter_distance,CV,89626,0.01465682015022829,0.011824640962544049,0.1087411649861452,0.0,0.0,0.0,0.0,0.00030212394781227507,0.0695725167596598,19.00465977278747,95.0,0.0,0.15316219489479005,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\stand\filter_distance\CV.png
3_status__stand__sqrt_mahalanobis__CV,Корень из квадрата расстояния Махаланобиса,3_status,stand,sqrt_mahalanobis,CV,89626,0.21656252515246605,3.666069169614268,1.9146981928268143,0.0,0.0,0.0,0.0,0.11510987769513252,0.8924405693622796,197.9150612375656,95.0,0.0,1.5238866275510592,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\stand\sqrt_mahalanobis\CV.png
3_status__stand__log1p_filter_distance__CV,log(1 + расстояние между измерением и фильтром),3_status,stand,log1p_filter_distance,CV,89626,0.012201158671489349,0.003572726095333902,0.05977228534474738,0.0,0.0,0.0,0.0,0.0003020783175627309,0.06725905159742666,2.9959652350557264,95.0,0.0,0.1425079028253206,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\stand\log1p_filter_distance\CV.png
3_status__anomaly__distances,"Расстояние между соседними точками, м",3_status,anomaly,distances,,51,250.8477492084235,253312.33305033352,503.3014335866067,0.0,0.0,0.0,15.519216406351699,269.60435051214074,1763.8744642236152,1864.8258364990888,95.0,0.0,1819.1429481924413,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\anomaly\distances\distances.png
3_status__move__distances,"Расстояние между соседними точками, м",3_status,move,distances,,220850,44.34814727624675,13883469.342293553,3726.0527830793744,0.0,0.0,5.141663900359568,32.163409516564755,41.0615320337418,47.376238821810794,1228289.844884786,95.0,0.0,49.47516754186149,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\move\distances\distances.png
3_status__stand__distances,"Расстояние между соседними точками, м",3_status,stand,distances,,89610,1.5274762860760684,7372.8066052082,85.86504879872952,0.0,0.0,0.0,0.0,0.0,5.511354439835169,16463.801481760383,95.0,0.0,8.965929481800782,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\3_status\stand\distances\distances.png
2_status__stand_move__log_likelihood__CV,Логарифм правдоподобия,2_status,stand_move,log_likelihood,CV,310467,-115.1747934676799,916279404.8681616,30270.107447251678,-16595641.4721512,-12.546236935451429,-12.51597392563908,-12.505987792726307,-12.491377886696903,-4.833240023258601,-3.5858208843142654,95.0,-12.58998928446357,-4.379362482445216,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\2_status\stand_move\log_likelihood\CV.png
2_status__anomaly__log_likelihood__CV,Логарифм правдоподобия,2_status,anomaly,log_likelihood,CV,45,-9287.475448936952,1689914066.2478743,41108.56439049987,-252057.32325752478,-18084.005276283075,-32.9292553871387,-15.950964481729692,-12.766297881510823,-11.29188549929275,-8.280838098644058,95.0,-115214.03456934149,-8.597129346906344,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\2_status\anomaly\log_likelihood\CV.png
2_status__stand_move__mahalanobis__CV,Квадрат расстояния Махаланобиса,2_status,stand_move,mahalanobis,CV,310467,207.80945796696852,3665123144.7676444,60540.260527748345,0.0,0.0,0.0,0.0016708804521815065,0.021036975379314725,0.8219522766081109,33191274.715800107,95.0,0.0,2.871053754836424,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\2_status\stand_move\mahalanobis\CV.png
2_status__anomaly__mahalanobis__CV,Квадрат расстояния Махаланобиса,2_status,anomaly,mahalanobis,CV,45,18550.76995148311,6760213453.4438925,82220.51722924085,0.0,1.7613262870683163e-05,0.5138413184119199,2.3720213044750924,25.155754053921022,36153.07848416291,504106.32126109436,95.0,1.9234432282714806e-06,230419.3257834501,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\2_status\anomaly\mahalanobis\CV.png
2_status__stand_move__filter_distance__CV,"Расстояние между измерением и оценкой фильтра, м",2_status,stand_move,filter_distance,CV,310467,0.04925950084210215,3.47882989135707,1.8651621622146075,0.0,0.0,0.0,8.924965767764359e-05,0.0004006992238073001,0.06450700315843239,795.8826278220688,95.0,0.0,0.1381394943994779,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\2_status\stand_move\filter_distance\CV.png
2_status__anomaly__filter_distance__CV,"Расстояние между измерением и оценкой фильтра, м",2_status,anomaly,filter_distance,CV,45,4.135620732232965,292.1118802389285,17.091280824997536,0.0,3.092041429359821e-10,0.0015016816334141,0.005898001315462732,0.35812671147247843,8.867353356064907,95.74000648620692,95.0,8.221293305720709e-11,61.9972425990079,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\2_status\anomaly\filter_distance\CV.png
2_status__stand_move__sqrt_mahalanobis__CV,Корень из квадрата расстояния Махаланобиса,2_status,stand_move,sqrt_mahalanobis,CV,310467,0.7315123204757714,207.2743476919606,14.397025654348214,0.0,0.0,0.0,0.040876404589708065,0.14504128852907422,0.9066158371604773,5761.186919012444,95.0,0.0,1.694418410636221,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\2_status\stand_move\sqrt_mahalanobis\CV.png
2_status__anomaly__sqrt_mahalanobis__CV,Корень из квадрата расстояния Махаланобиса,2_status,anomaly,sqrt_mahalanobis,CV,45,40.485583177386,16911.68750627007,130.04494417804204,0.0,0.004079964063461705,0.7168272584185955,1.5401367810928652,5.015551221343575,188.49787801946408,710.0044515783646,95.0,0.0011153325360093798,471.4749682809119,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\2_status\anomaly\sqrt_mahalanobis\CV.png
2_status__stand_move__log1p_filter_distance__CV,log(1 + расстояние между измерением и фильтром),2_status,stand_move,log1p_filter_distance,CV,310467,0.016251165380897846,0.017068960712471867,0.13064823271851736,0.0,0.0,0.0,8.92456751639027e-05,0.00040061896531228013,0.06251178415397322,6.680707400469848,95.0,0.0,0.12939490651271424,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\2_status\stand_move\log1p_filter_distance\CV.png
2_status__anomaly__log1p_filter_distance__CV,log(1 + расстояние между измерением и фильтром),2_status,anomaly,log1p_filter_distance,CV,45,0.3956535551674588,0.9759565887775254,0.9879051517111982,0.0,3.0920414288541144e-10,0.0015005552370681672,0.005880676194716859,0.3061063322007798,2.2861199151856773,4.572027034442663,95.0,8.221293305182638e-11,4.041493660628354,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\CV\2_status\anomaly\log1p_filter_distance\CV.png
