train_file,validation_file,segment_type,method,n_segments,n_points,sigma_meas_x,sigma_meas_y,sigma_meas,sigma_acc,sigma_rw,negative_log_likelihood,n_mle_windows,optimizer_success,optimizer_message,stationary_fragments_total,stationary_fragments_accepted,sigma_meas_fragment_20,sigma_meas_fragment_30,sigma_meas_fragment_60,sigma_meas_stability_cv,sigma_meas_stability_min_max_ratio,sigma_meas_stability_status,validation_n,validation_mean_mahalanobis,validation_median_mahalanobis,validation_p95_mahalanobis,validation_p99_mahalanobis,validation_frac_m2_gt_5_991,validation_frac_m2_gt_9_21,validation_frac_m2_gt_13_82,validation_expected_frac_gt_5_991,validation_expected_frac_gt_9_21,validation_expected_frac_gt_13_82,validation_mean_ratio,validation_median_ratio,validation_p95_ratio,validation_p99_ratio,central_calibration,tail_calibration,validation_quality,validation_message,validation_n_segments,validation_n_points,rw_hit_upper_bound
1.csv,3.csv,stand,stationary_stand_diff,79,382003,0.606154926998663,0.706804958985827,0.6584060470453287,,,,,True,sigma_meas estimated from stationary stand fragments,,,0.619684514647618,0.6584060470453287,0.7148322780966905,0.07202631413594686,1.1535422641683697,OK,,,,,,,,,,,,,,,,,,,,,,
1.csv,3.csv,stand,MLE_CV,79,382003,0.606154926998663,0.706804958985827,0.6584060470453287,0.006263332776896787,,110900.57845828657,34689.0,True,Solution found.,,,0.619684514647618,0.6584060470453287,0.7148322780966905,0.07202631413594686,1.1535422641683697,OK,89369.0,2164.181498668462,0.0,65.12358481632049,276.30054860434524,0.189707840526357,0.1637144871264085,0.13852678221754747,0.05,0.01,0.001,1082.090749334231,0.0,10.869393335182965,29.9989509014271,POOR,HEAVY,POOR,"CV: N=89369, mean=2164.18, median=0, P95=65.1236, P99=276.301, >5.991=0.189708, >9.21=0.163714, >13.82=0.138527, central=POOR, tail=HEAVY",14.0,89509.0,
1.csv,3.csv,stand,MLE_RW,79,382003,0.606154926998663,0.706804958985827,0.6584060470453287,,0.4099568113727184,121482.25394827007,34689.0,True,Solution found.,,,0.619684514647618,0.6584060470453287,0.7148322780966905,0.07202631413594686,1.1535422641683697,OK,89369.0,1060.83223697594,0.0,29.245438093065232,136.43637196563012,0.1260280410433148,0.10508118027503945,0.08403361344537816,0.05,0.01,0.001,530.41611848797,0.0,4.881183534196445,14.813390868893174,POOR,HEAVY,POOR,"RW: N=89369, mean=1060.83, median=0, P95=29.2454, P99=136.436, >5.991=0.126028, >9.21=0.105081, >13.82=0.0840336, central=POOR, tail=HEAVY",14.0,89509.0,False
1.csv,3.csv,move,MLE_CV,66,368149,0.606154926998663,0.706804958985827,0.6584060470453287,0.07071980502826104,,215137.1136655263,33435.0,True,Solution found.,,,0.619684514647618,0.6584060470453287,0.7148322780966905,0.07202631413594686,1.1535422641683697,OK,220731.0,17852.882747620082,0.23427214081312547,14.17138790431897,1573.2034534700304,0.10485160670680602,0.07271747058636983,0.05109386538365703,0.05,0.01,0.001,8926.441373810041,0.16899162788476849,2.3652627488481692,170.8083946882934,POOR,HEAVY,POOR,"CV: N=220731, mean=17852.9, median=0.234272, P95=14.1714, P99=1573.2, >5.991=0.104852, >9.21=0.0727175, >13.82=0.0510939, central=POOR, tail=HEAVY",11.0,220841.0,
1.csv,3.csv,move,MLE_RW,66,368149,0.606154926998663,0.706804958985827,0.6584060470453287,,6.2119968070706815,292030.78670481825,33435.0,True,Solution found.,,,0.619684514647618,0.6584060470453287,0.7148322780966905,0.07202631413594686,1.1535422641683697,OK,220731.0,1705.059944571897,2.9113006130831196,5.838919588495706,7.942314036168685,0.040959357770317714,0.009396052208344092,0.008725552822213463,0.05,0.01,0.001,852.5299722859485,2.100059478516007,0.9745396209202465,0.8623257898627011,GOOD,HEAVY,CHECK,"RW: N=220731, mean=1705.06, median=2.9113, P95=5.83892, P99=7.94231, >5.991=0.0409594, >9.21=0.00939605, >13.82=0.00872555, central=GOOD, tail=HEAVY",11.0,220841.0,False
1.csv,3.csv,stand_move,MLE_CV,48,751564,0.606154926998663,0.706804958985827,0.6584060470453287,0.3592142790973358,,590180.4207167712,68300.0,True,Solution found.,,,0.619684514647618,0.6584060470453287,0.7148322780966905,0.07202631413594686,1.1535422641683697,OK,310407.0,1724.8205514279628,0.06610299132990838,7.44488556011916,554.5622214591681,0.057911065149948295,0.0428727444935198,0.032212546753133786,0.05,0.01,0.001,862.4102757139814,0.04768322888979247,1.2425819266030262,60.21082816293147,POOR,HEAVY,POOR,"CV: N=310407, mean=1724.82, median=0.066103, P95=7.44489, P99=554.562, >5.991=0.0579111, >9.21=0.0428727, >13.82=0.0322125, central=POOR, tail=HEAVY",7.0,310477.0,
1.csv,3.csv,stand_move,MLE_RW,48,751564,0.606154926998663,0.706804958985827,0.6584060470453287,,4.383120322663753,548993.2725233973,68300.0,True,Solution found.,,,0.619684514647618,0.6584060470453287,0.7148322780966905,0.07202631413594686,1.1535422641683697,OK,310407.0,2439.667300088309,1.9120333854550438,11.242455104759541,14.057770015026804,0.3513709420212817,0.1496680165073597,0.010821276582035843,0.05,0.01,0.001,1219.8336500441544,1.3792405416050633,1.8764118549589288,1.5263029863477842,CHECK,HEAVY,CHECK,"RW: N=310407, mean=2439.67, median=1.91203, P95=11.2425, P99=14.0578, >5.991=0.351371, >9.21=0.149668, >13.82=0.0108213, central=CHECK, tail=HEAVY",7.0,310477.0,False
2.csv,3.csv,stand,stationary_stand_diff,70,50908,1.1393350841741394,1.2985614675315569,1.2215453980486775,,,,,True,sigma_meas estimated from stationary stand fragments,,,1.1033468574862693,1.2215453980486775,1.356762435033159,0.103325546944944,1.229678977039225,OK,,,,,,,,,,,,,,,,,,,,,,
2.csv,3.csv,stand,MLE_CV,70,50908,1.1393350841741394,1.2985614675315569,1.2215453980486775,0.09974775088941784,,119060.63388468654,4594.0,True,Solution found.,,,1.1033468574862693,1.2215453980486775,1.356762435033159,0.103325546944944,1.229678977039225,OK,89369.0,120.15200743506948,0.0,6.787989768395125,32.18790038563449,0.05544428157414764,0.0384137676375477,0.02571361434054314,0.05,0.01,0.001,60.07600371753474,0.0,1.1329433254631576,3.4947568803831537,POOR,HEAVY,POOR,"CV: N=89369, mean=120.152, median=0, P95=6.78799, P99=32.1879, >5.991=0.0554443, >9.21=0.0384138, >13.82=0.0257136, central=POOR, tail=HEAVY",14.0,89509.0,
2.csv,3.csv,stand,MLE_RW,70,50908,1.1393350841741394,1.2985614675315569,1.2215453980486775,,9.99948584685271,176846.68869388648,4594.0,True,Solution found.,,,1.1033468574862693,1.2215453980486775,1.356762435033159,0.103325546944944,1.229678977039225,OK,89369.0,2.4524692523523006,0.0,0.08839385454449739,0.5622394381122567,0.0006042363683156352,0.0003133077465340331,0.00021260168514809386,0.05,0.01,0.001,1.2262346261761503,0.0,0.014753296769011883,0.061044371370134506,POOR,LIGHT,CHECK,"RW: N=89369, mean=2.45247, median=0, P95=0.0883939, P99=0.562239, >5.991=0.000604236, >9.21=0.000313308, >13.82=0.000212602, central=POOR, tail=LIGHT",14.0,89509.0,False
