train_file,validation_file,segment_type,method,n_segments,n_points,sigma_meas_x,sigma_meas_y,sigma_meas,sigma_acc,sigma_rw,negative_log_likelihood,n_mle_windows,optimizer_success,optimizer_message,stationary_fragments_total,stationary_fragments_accepted,validation_n_segments,validation_n_points,validation_n,validation_mean_mahalanobis,validation_median_mahalanobis,validation_p95_mahalanobis,validation_p99_mahalanobis,validation_frac_m2_gt_5_991,validation_frac_m2_gt_9_21,validation_frac_m2_gt_13_82,validation_expected_frac_gt_5_991,validation_expected_frac_gt_9_21,validation_expected_frac_gt_13_82,validation_mean_ratio,validation_median_ratio,validation_p95_ratio,validation_p99_ratio,validation_quality,validation_message
2.csv,3.csv,move,MLE_CV,75,112371,1.1339113062158095,1.2950262889917021,1.2171376133255563,0.04713673249098855,,62605.588798461715,10180.0,True,Solution found.,1683,1106,11.0,220841.0,220731.0,15562.312678461505,0.10145816499524753,6.5049490195661495,588.3727423667557,0.05348138684643299,0.038232056213218804,0.02884959520864763,0.05,0.01,0.001,7781.156339230753,0.0731865957481689,1.0857026639181273,63.88175882804143,POOR,"CV: N=220731, mean=15562.3, median=0.101458, P95=6.50495, P99=588.373, >5.991=0.0534814, >9.21=0.0382321, >13.82=0.0288496"
2.csv,3.csv,move,MLE_RW,75,112371,1.1339113062158095,1.2950262889917021,1.2171376133255563,,9.313591027619326,97788.44994064479,10180.0,True,Solution found.,1683,1106,11.0,220841.0,220731.0,758.445642908094,1.2950814296407684,2.597707805310606,3.5319563863494494,0.0087527352297593,0.008344999116571754,0.008077705442371031,0.05,0.01,0.001,379.222821454047,0.9342037780450625,0.43356808421147947,0.38347729222862903,POOR,"RW: N=220731, mean=758.446, median=1.29508, P95=2.59771, P99=3.53196, >5.991=0.00875274, >9.21=0.008345, >13.82=0.00807771"
2.csv,3.csv,stand_move,MLE_CV,76,164323,1.1339113062158095,1.2950262889917021,1.2171376133255563,0.07019400656042955,,108377.22808161232,14901.0,True,Solution found.,1683,1106,7.0,310477.0,310407.0,7422.725825801457,0.0353140579196649,6.11976818256806,89.22922615243775,0.05087514134668355,0.036529459709349336,0.026958154938516207,0.05,0.01,0.001,3711.3629129007286,0.02547370811718308,1.0214144028477998,9.687940135625263,POOR,"CV: N=310407, mean=7422.73, median=0.0353141, P95=6.11977, P99=89.2292, >5.991=0.0508751, >9.21=0.0365295, >13.82=0.0269582"
2.csv,3.csv,stand_move,MLE_RW,76,164323,1.1339113062158095,1.2950262889917021,1.2171376133255563,,9.999394331439698,146232.0669158013,14901.0,True,Solution found.,1683,1106,7.0,310477.0,310407.0,468.8224004929537,0.3677426698488965,2.159863450478798,2.7000836742122956,0.006356171091502447,0.005992132909373822,0.005792395145728028,0.05,0.01,0.001,234.41120024647685,0.2652702630571351,0.36049006607597184,0.29315786009686445,POOR,"RW: N=310407, mean=468.822, median=0.367743, P95=2.15986, P99=2.70008, >5.991=0.00635617, >9.21=0.00599213, >13.82=0.0057924"
3.csv,3.csv,stand,stationary_stand_diff,14,89509,0.576427038085096,0.7200981957256497,0.6522306117175476,,,,,True,sigma_meas estimated from stationary stand fragments,2981,544,,,,,,,,,,,,,,,,,,,
3.csv,3.csv,stand,MLE_CV,14,89509,0.576427038085096,0.7200981957256497,0.6522306117175476,0.39997754389292384,,209512.5114036636,8131.0,True,Solution found.,2981,544,14.0,89509.0,89369.0,70.57904382407712,0.0,7.231540109816853,41.94103867752769,0.05768219404939073,0.040662869675167,0.029070483053407783,0.05,0.01,0.001,35.28952191203856,0.0,1.2069736961570516,4.553690415735285,POOR,"CV: N=89369, mean=70.579, median=0, P95=7.23154, P99=41.941, >5.991=0.0576822, >9.21=0.0406629, >13.82=0.0290705"
3.csv,3.csv,stand,MLE_RW,14,89509,0.576427038085096,0.7200981957256497,0.6522306117175476,,9.999478948119137,153272.44321091665,8131.0,True,Solution found.,2981,544,14.0,89509.0,89369.0,2.4589152693761633,0.0,0.08907406626874885,0.569232966321009,0.0006378050554442816,0.00032449730891024854,0.00022379124752430933,0.05,0.01,0.001,1.2294576346880817,0.0,0.014866826894894008,0.061803684047658465,POOR,"RW: N=89369, mean=2.45892, median=0, P95=0.0890741, P99=0.569233, >5.991=0.000637805, >9.21=0.000324497, >13.82=0.000223791"
3.csv,3.csv,move,MLE_CV,11,220841,0.576427038085096,0.7200981957256497,0.6522306117175476,0.39998459223754357,,81606638.66962607,20072.0,True,Solution found.,2981,544,11.0,220841.0,220731.0,2127.459770701454,0.08718375846238596,6.883325654698692,2305.7637757207062,0.05468647358096507,0.04099107057912119,0.03160407917329238,0.05,0.01,0.001,1063.729885350727,0.0628897879898727,1.148855275797502,250.34512109197755,POOR,"CV: N=220731, mean=2127.46, median=0.0871838, P95=6.88333, P99=2305.76, >5.991=0.0546865, >9.21=0.0409911, >13.82=0.0316041"
3.csv,3.csv,move,MLE_RW,11,220841,0.576427038085096,0.7200981957256497,0.6522306117175476,,9.999623350060006,207331.61847438855,20072.0,True,Solution found.,2981,544,11.0,220841.0,220731.0,658.0929907171917,1.1235994497497557,2.2533434195487945,3.06012437753818,0.008621353593287757,0.00823173908513077,0.007991627818475882,0.05,0.01,0.001,329.04649535859585,0.8105056770497701,0.37609225621412734,0.3322487827756138,POOR,"RW: N=220731, mean=658.093, median=1.1236, P95=2.25334, P99=3.06012, >5.991=0.00862135, >9.21=0.00823174, >13.82=0.00799163"
3.csv,3.csv,stand_move,MLE_CV,7,310477,0.576427038085096,0.7200981957256497,0.6522306117175476,0.022914967642678936,,21407030.344070394,28223.0,True,Solution found.,2981,544,7.0,310477.0,310407.0,42530.470376359415,0.187377439023204,27.596040543149897,426.3490260982065,0.15495140251347425,0.11799025150850335,0.08605798193984028,0.05,0.01,0.001,21265.235188179708,0.13516425102662524,4.60589232001218,46.29025734981916,POOR,"CV: N=310407, mean=42530.5, median=0.187377, P95=27.596, P99=426.349, >5.991=0.154951, >9.21=0.11799, >13.82=0.086058"
3.csv,3.csv,stand_move,MLE_RW,7,310477,0.576427038085096,0.7200981957256497,0.6522306117175476,,9.999482239271789,377384.3610403066,28223.0,True,Solution found.,2981,544,7.0,310477.0,310407.0,468.9017269922679,0.36782058543434903,2.159779979015837,2.69947968450792,0.006365835822001437,0.005995354486206819,0.005789173568895032,0.05,0.01,0.001,234.45086349613396,0.2653264672715052,0.36047613434654163,0.29309228274793026,POOR,"RW: N=310407, mean=468.902, median=0.367821, P95=2.15978, P99=2.69948, >5.991=0.00636584, >9.21=0.00599535, >13.82=0.00578917"
