metric,title,scheme,status,kind,model,count,mean,variance,std,min,p05,p25,p50,p75,p95,max,display_percentile,display_min,display_max,file
3_status__anomaly__log_likelihood__RW,Логарифм правдоподобия,3_status,anomaly,log_likelihood,RW,21703,-5598776.823821964,5333747913879647.0,73032512.71782757,-1795672840.9246023,-13.709087619726375,-13.70830333864938,-13.016587689214475,-13.015162189424661,-13.014734142912896,-12.99046631210313,95.0,-14.090748037994818,-12.992073422406353,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\1\RW\3_status\anomaly\log_likelihood\RW.png
3_status__anomaly__mahalanobis__RW,Квадрат расстояния Махаланобиса,3_status,anomaly,mahalanobis,RW,21703,11197526.953995172,2.1334991658920428e+16,146065025.4473001,0.0,0.0,0.0,0.0,0.0,0.0,3591345655.81888,95.0,0.0,7.443799441372857e-14,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\1\RW\3_status\anomaly\mahalanobis\RW.png
3_status__anomaly__filter_distance__RW,"Расстояние между измерением и оценкой фильтра, м",3_status,anomaly,filter_distance,RW,21703,0.3910414404650204,23.757497230329975,4.874166311312117,0.0,0.0,0.0,0.0,0.0,0.0,96.6401037551924,95.0,0.0,1.0346416191507554e-15,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\1\RW\3_status\anomaly\filter_distance\RW.png
3_status__anomaly__sqrt_mahalanobis__RW,Корень из квадрата расстояния Махаланобиса,3_status,anomaly,sqrt_mahalanobis,RW,21703,280.7560524805426,11118702.992990714,3334.4719211579386,0.0,0.0,0.0,0.0,0.0,0.0,59927.83706941942,95.0,0.0,2.727982371806316e-07,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\1\RW\3_status\anomaly\sqrt_mahalanobis\RW.png
3_status__anomaly__log1p_filter_distance__RW,log(1 + расстояние между измерением и фильтром),3_status,anomaly,log1p_filter_distance,RW,21703,0.029255363390715668,0.1136205826629607,0.3370765234527031,0.0,0.0,0.0,0.0,0.0,0.0,4.581288308154186,95.0,0.0,1.034641619150755e-15,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\1\RW\3_status\anomaly\log1p_filter_distance\RW.png
3_status__move__log_likelihood__RW,Логарифм правдоподобия,3_status,move,log_likelihood,RW,369737,-164389.08079652025,177810939177201.9,13334576.827826293,-1797452855.3300047,-13.71741769479382,-13.713132365504173,-13.020253224646071,-13.017483270713802,-13.015447451996586,-11.849996294869836,95.0,-13.718994875362803,-13.01502895873377,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\1\RW\3_status\move\log_likelihood\RW.png
3_status__move__mahalanobis__RW,Квадрат расстояния Махаланобиса,3_status,move,mahalanobis,RW,369737,328751.5390336578,711243756720628.0,26669153.655874196,0.0,1.50898678297343e-05,0.003140718352530189,0.006476401828115097,0.01107027511358875,0.018318697758176447,3594905684.6319685,95.0,2.7633997953028802e-06,0.021400752896010698,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\1\RW\3_status\move\mahalanobis\RW.png
3_status__move__filter_distance__RW,"Расстояние между измерением и оценкой фильтра, м",3_status,move,filter_distance,RW,369737,0.010678619135035275,0.6827794760428535,0.8263047113764108,0.0,5.788167158559527e-06,8.30137496930383e-05,0.00011475421007314942,0.0001381455031967257,0.00017422323381770306,96.74320865054564,95.0,2.679194505739169e-06,0.00018908774417427865,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\1\RW\3_status\move\filter_distance\RW.png
3_status__move__sqrt_mahalanobis__RW,Корень из квадрата расстояния Махаланобиса,3_status,move,sqrt_mahalanobis,RW,369737,7.788628481822553,328690.8763000299,573.3156864241811,0.0,0.0038845678789491424,0.056042112313243415,0.08047609476183035,0.10521537489164191,0.13534658384240392,59957.53234275047,95.0,0.0016623476758196162,0.1462899617032558,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\1\RW\3_status\move\sqrt_mahalanobis\RW.png
3_status__move__log1p_filter_distance__RW,log(1 + расстояние между измерением и фильтром),3_status,move,log1p_filter_distance,RW,369737,0.0008640659800309929,0.0030047116858531353,0.05481525048609315,0.0,5.788150407184638e-06,8.301030424239777e-05,0.00011474762631245602,0.00013813596198540578,0.00017420805871264707,4.582343719731095,95.0,2.6791909167039794e-06,0.00018906986934001942,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\1\RW\3_status\move\log1p_filter_distance\RW.png
3_status__stand__log_likelihood__RW,Логарифм правдоподобия,3_status,stand,log_likelihood,RW,382636,-65510.314664553436,58562578378591.234,7652619.053539203,-1924255072.7291446,-13.709031663501234,-13.708306257849523,-13.01616668932666,-13.015167717782894,-12.992126616180192,-11.725899236080123,95.0,-13.709243720124798,-12.992074218007808,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\1\RW\3_status\stand\log_likelihood\RW.png
3_status__stand__mahalanobis__RW,Квадрат расстояния Махаланобиса,3_status,stand,mahalanobis,RW,382636,130994.00205650786,234250313526671.06,15305238.107480427,0.0,1.515385367594957e-17,1.3827845119259277e-06,7.144517608422977e-06,1.8571404918240047e-05,7.633689706186597e-05,3848510119.4282503,95.0,9.161579595838233e-28,0.00013167552416655536,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\1\RW\3_status\stand\mahalanobis\RW.png
3_status__stand__filter_distance__RW,"Расстояние между измерением и оценкой фильтра, м",3_status,stand,filter_distance,RW,382636,0.004696542906881195,0.2804009481825462,0.529528987103205,0.0,6.063594071292755e-12,1.3413181080279557e-06,3.072572091422643e-06,6.037627279980713e-06,1.2025104645622716e-05,100.04746276594364,95.0,0.0,1.594307335169429e-05,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\1\RW\3_status\stand\filter_distance\RW.png
