metric,title,scheme,status,kind,model,count,mean,variance,std,min,p05,p25,p50,p75,p95,max,display_percentile,display_min,display_max,file
3_status__anomaly__log_likelihood__CV,Логарифм правдоподобия,3_status,anomaly,log_likelihood,CV,45,-29544.481014401834,19010369060.26872,137878.09492544027,-830267.3133585684,-17306.531679707667,-703.2093390702152,-25.5026630730713,-6.518223201212276,-4.828476667066195,-3.023030042212797,95.0,-409410.19663326826,-4.677291359884047,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\anomaly\log_likelihood\CV.png
3_status__anomaly__mahalanobis__CV,Квадрат расстояния Махаланобиса,3_status,anomaly,mahalanobis,CV,45,59077.06236006761,76042183828.70638,275757.4728429066,0.0,3.1467466843544056e-06,0.07704696689012924,20.511594116247633,1400.346701968629,34605.15000477291,1660529.1007505658,95.0,1.3456388561374387e-06,818813.8225884459,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\anomaly\mahalanobis\CV.png
3_status__anomaly__filter_distance__CV,"Расстояние между измерением и оценкой фильтра, м",3_status,anomaly,filter_distance,CV,45,54.79251640911498,41852.89349686581,204.57979738201377,0.0,8.258285941875995e-06,0.044756302450608416,3.1852858010908762,14.663427642001825,92.38448231845824,1210.7596056849109,95.0,6.764714664661247e-07,661.4924222349014,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\anomaly\filter_distance\CV.png
3_status__anomaly__sqrt_mahalanobis__CV,Корень из квадрата расстояния Махаланобиса,3_status,anomaly,sqrt_mahalanobis,CV,45,72.76924406799951,53781.69947783953,231.9088171627796,0.0,0.0017719881012802441,0.277573354070828,4.528972744038943,37.42120658087642,182.30844711197867,1288.6151872264138,95.0,0.0011433745776858548,876.4120170117448,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\anomaly\sqrt_mahalanobis\CV.png
3_status__anomaly__log1p_filter_distance__CV,log(1 + расстояние между измерением и фильтром),3_status,anomaly,log1p_filter_distance,CV,45,1.7703891256110662,3.177938351632171,1.7826772987930741,0.0,8.25824509261384e-06,0.04378365482408704,1.4315749933876485,2.751328545411793,4.5367167528580294,7.099828801811797,95.0,6.764694042439635e-07,6.382306965645695,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\anomaly\log1p_filter_distance\CV.png
3_status__move__log_likelihood__CV,Логарифм правдоподобия,3_status,move,log_likelihood,CV,220841,-7772.103031244769,7418774658261.356,2723742.766536766,-1256209939.046229,-7.237005537368751,-5.016390378010437,-4.838460167811988,-4.814460205593292,-3.1845386537442715,-2.5909461448816047,95.0,-12.759696787790318,-3.0242204378219584,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\move\log_likelihood\CV.png
3_status__move__mahalanobis__CV,Квадрат расстояния Махаланобиса,3_status,move,mahalanobis,CV,220841,15535.302688255575,29675098647261.367,5447485.534378349,0.0,0.0,0.010791135732297012,0.10139858504404203,0.8007894845220664,6.493632938700732,2512419868.803021,95.0,0.0,17.328534087019477,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\move\mahalanobis\CV.png
3_status__move__filter_distance__CV,"Расстояние между измерением и оценкой фильтра, м",3_status,move,filter_distance,CV,220841,1.4734228096056543,4852.48026606543,69.6597463824369,0.0,0.0,0.03559307304246385,0.11865945189838761,0.37014326091027827,1.7328276578056034,19624.92368909421,95.0,0.0,2.8719541629268273,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\move\filter_distance\CV.png
3_status__move__sqrt_mahalanobis__CV,Корень из квадрата расстояния Махаланобиса,3_status,move,sqrt_mahalanobis,CV,220841,2.3626666504594356,15529.720494554378,124.61829919620304,0.0,0.0,0.10388039147161995,0.31843144481040503,0.8948684174346899,2.5482607674060227,50124.0448168643,95.0,0.0,4.16275558819149,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\move\sqrt_mahalanobis\CV.png
3_status__move__log1p_filter_distance__CV,log(1 + расстояние между измерением и фильтром),3_status,move,log1p_filter_distance,CV,220841,0.2789150626057883,0.2599651791535695,0.5098678055668641,0.0,0.0,0.03497428003786536,0.11213105048076118,0.3149153043804738,1.0053368452450346,9.884606608503208,95.0,0.0,1.35375933125718,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\move\log1p_filter_distance\CV.png
3_status__stand__log_likelihood__CV,Логарифм правдоподобия,3_status,stand,log_likelihood,CV,89626,-144.93644915509987,552903094.6917564,23513.891525899246,-6484742.54535571,-8.971879091032616,-4.828476235828964,-4.828471006282642,-4.790138714183079,-3.197968426155122,-2.6342981840594635,95.0,-14.389246065072637,-3.0230272794344284,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\stand\log_likelihood\CV.png
3_status__stand__mahalanobis__CV,Квадрат расстояния Махаланобиса,3_status,stand,mahalanobis,CV,89626,280.9546044490254,2211611970.1697946,47027.778707587226,0.0,0.0,0.0,0.0,0.13438742637335213,10.028740946344165,12969475.634797469,95.0,0.0,20.841562307119474,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\stand\mahalanobis\CV.png
3_status__stand__filter_distance__CV,"Расстояние между измерением и оценкой фильтра, м",3_status,stand,filter_distance,CV,89626,0.43317379097539993,43.054567184157335,6.561597913935091,0.0,0.0,0.0,0.0,0.1511225252662562,2.1246804420114462,1266.797714736813,95.0,0.0,3.168964283865273,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\stand\filter_distance\CV.png
3_status__stand__sqrt_mahalanobis__CV,Корень из квадрата расстояния Махаланобиса,3_status,stand,sqrt_mahalanobis,CV,89626,0.7446028626550886,280.4001710259512,16.745153657878184,0.0,0.0,0.0,0.0,0.36658890471312316,3.166818740929806,3601.315819918807,95.0,0.0,4.56525598881064,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\stand\sqrt_mahalanobis\CV.png
3_status__stand__log1p_filter_distance__CV,log(1 + расстояние между измерением и фильтром),3_status,stand,log1p_filter_distance,CV,89626,0.1944982631973376,0.16960379780881976,0.41182981656118556,0.0,0.0,0.0,0.0,0.14073757521761315,1.1393320190655338,7.145036591306095,95.0,0.0,1.4276676117103368,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\stand\log1p_filter_distance\CV.png
3_status__anomaly__distances,"Расстояние между соседними точками, м",3_status,anomaly,distances,,51,250.8477492084235,253312.33305033352,503.3014335866067,0.0,0.0,0.0,15.519216406351699,269.60435051214074,1763.8744642236152,1864.8258364990888,95.0,0.0,1819.1429481924413,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\anomaly\distances\distances.png
3_status__move__distances,"Расстояние между соседними точками, м",3_status,move,distances,,220850,44.34814727624675,13883469.342293553,3726.0527830793744,0.0,0.0,5.141663900359568,32.163409516564755,41.0615320337418,47.376238821810794,1228289.844884786,95.0,0.0,49.47516754186149,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\move\distances\distances.png
3_status__stand__distances,"Расстояние между соседними точками, м",3_status,stand,distances,,89610,1.5274762860760684,7372.8066052082,85.86504879872952,0.0,0.0,0.0,0.0,0.0,5.511354439835169,16463.801481760383,95.0,0.0,8.965929481800782,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\3_status\stand\distances\distances.png
2_status__stand_move__log_likelihood__CV,Логарифм правдоподобия,2_status,stand_move,log_likelihood,CV,310467,-5570.2830887505,5277285114114.432,2297234.2314432003,-1256209939.046229,-7.678312448677554,-4.939641968407011,-4.828609268241734,-4.804782398567134,-3.187286945335204,-2.5909461448816047,95.0,-13.448646711576883,-3.0230272794344284,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\2_status\stand_move\log_likelihood\CV.png
2_status__anomaly__log_likelihood__CV,Логарифм правдоподобия,2_status,anomaly,log_likelihood,CV,45,-29544.481014401834,19010369060.26872,137878.09492544027,-830267.3133585684,-17306.531679707667,-703.2093390702152,-25.5026630730713,-6.518223201212276,-4.828476667066195,-3.023030042212797,95.0,-409410.19663326826,-4.677291359884047,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_2\distributions\3\CV\2_status\anomaly\log_likelihood\CV.png
