time,lat,lon
0 days 00:00:00,64.459152,40.66246
0 days 00:00:10,64.459152,40.66246
0 days 00:00:20,64.459152,40.66246
0 days 00:00:30,64.459152,40.66246
0 days 00:00:40,64.459152,40.66246
0 days 00:00:50,64.459152,40.66246
0 days 00:01:00,64.459152,40.66246
0 days 00:01:10,64.459152,40.66246
0 days 00:01:20,64.459152,40.66246
0 days 00:01:30,64.459152,40.66246
0 days 00:01:40,64.459152,40.66246
0 days 00:01:50,64.459152,40.66246
0 days 00:02:00,64.459152,40.66246
0 days 00:02:10,64.459152,40.66246
0 days 00:02:20,64.459152,40.66246
0 days 00:02:30,64.459152,40.66246
0 days 00:02:40,64.459152,40.66246
0 days 00:02:50,64.459152,40.66246
0 days 00:03:00,64.459152,40.66246
0 days 00:03:10,64.459152,40.66246
0 days 00:03:20,64.459152,40.66246
0 days 00:03:30,64.459152,40.66246
0 days 00:03:40,64.459152,40.66246
0 days 00:03:50,64.459152,40.66246
0 days 00:04:00,64.459152,40.66246
0 days 00:04:10,64.459152,40.66246
0 days 00:04:20,64.459152,40.66246
0 days 00:04:30,64.459152,40.66246
0 days 00:04:40,64.459152,40.66246
0 days 00:04:50,64.459152,40.66246
0 days 00:05:00,64.459152,40.66246
0 days 00:05:10,64.459152,40.66246
0 days 00:05:20,64.459152,40.66246
0 days 00:05:30,64.459152,40.66246
0 days 00:05:40,64.459152,40.66246
0 days 00:05:50,64.459152,40.66246
0 days 00:06:00,64.459152,40.66246
0 days 00:06:10,64.459152,40.66246
0 days 00:06:20,64.459152,40.662476
0 days 00:06:30,64.459152,40.662476
0 days 00:06:40,64.459152,40.662476
0 days 00:06:50,64.459152,40.662476
0 days 00:07:00,64.459152,40.662476
0 days 00:07:10,64.459152,40.662476
0 days 00:07:20,64.459152,40.662476
0 days 00:07:30,64.459152,40.662476
0 days 00:07:40,64.459152,40.662476
0 days 00:07:50,64.459152,40.662476
0 days 00:08:00,64.459152,40.662476
0 days 00:08:10,64.459152,40.66246
0 days 00:08:20,64.459152,40.66246
0 days 00:08:30,64.459152,40.66246
0 days 00:08:40,64.459152,40.66246
0 days 00:08:50,64.459152,40.66246
0 days 00:09:00,64.459152,40.66246
0 days 00:09:10,64.459152,40.66246
0 days 00:09:20,64.459152,40.66246
0 days 00:09:30,64.459152,40.66246
0 days 00:09:40,64.459152,40.66246
0 days 00:09:50,64.459152,40.66246
0 days 00:10:00,64.459152,40.66246
0 days 00:10:10,64.459152,40.66246
0 days 00:10:20,64.459152,40.66246
0 days 00:10:30,64.459152,40.66246
0 days 00:10:40,64.459152,40.66246
0 days 00:10:50,64.459152,40.66246
0 days 00:11:00,64.459167,40.662476
0 days 00:11:10,64.459167,40.662476
0 days 00:11:20,64.459167,40.662476
0 days 00:11:30,64.459167,40.662476
0 days 00:11:40,64.459167,40.662476
0 days 00:11:50,64.459167,40.662476
0 days 00:12:00,64.459167,40.662476
0 days 00:12:10,64.459167,40.662476
0 days 00:12:20,64.459167,40.662476
0 days 00:12:30,64.459167,40.662476
0 days 00:12:40,64.459167,40.662476
0 days 00:12:50,64.459167,40.662476
0 days 00:13:00,64.459167,40.662476
0 days 00:13:10,64.459167,40.662476
0 days 00:13:20,64.459167,40.662476
0 days 00:13:30,64.459274,40.662598
0 days 00:13:40,64.459167,40.662521
0 days 00:13:50,64.459152,40.662491
0 days 00:14:00,64.459152,40.662445
0 days 00:14:10,64.459152,40.662445
0 days 00:14:20,64.459152,40.662445
0 days 00:14:30,64.459152,40.662445
0 days 00:14:40,64.459152,40.662445
0 days 00:14:50,64.459152,40.662445
0 days 00:15:00,64.459152,40.662445
0 days 00:15:10,64.459152,40.662445
0 days 00:15:20,64.459152,40.662445
0 days 00:15:30,64.459152,40.662445
0 days 00:15:40,64.459152,40.662445
0 days 00:15:50,64.459167,40.66246
0 days 00:16:00,64.459183,40.662476
0 days 00:16:10,64.459183,40.662491
0 days 00:16:20,64.459183,40.662506
0 days 00:16:30,64.459183,40.662506
0 days 00:16:40,64.459183,40.662506
0 days 00:16:50,64.459183,40.662506
0 days 00:17:00,64.459183,40.662537
0 days 00:17:10,64.459183,40.662552
0 days 00:17:20,64.459167,40.662552
0 days 00:17:30,64.459167,40.662552
0 days 00:17:40,64.459183,40.662552
0 days 00:17:50,64.459183,40.662552
0 days 00:18:00,64.459183,40.662537
0 days 00:18:10,64.459183,40.662537
0 days 00:18:20,64.459183,40.662537
0 days 00:18:30,64.459183,40.662537
0 days 00:18:40,64.459183,40.662537
0 days 00:18:50,64.459183,40.662537
0 days 00:19:00,64.459183,40.662537
0 days 00:19:10,64.459183,40.662537
0 days 00:19:20,64.459183,40.662537
0 days 00:19:30,64.459183,40.662537
0 days 00:19:40,64.459183,40.662537
0 days 00:19:50,64.459183,40.662537
0 days 00:20:00,64.459183,40.662537
0 days 00:20:10,64.459183,40.662537
0 days 00:20:20,64.459198,40.662521
0 days 00:20:30,64.459198,40.662521
0 days 00:20:40,64.459213,40.662506
0 days 00:20:50,64.459213,40.662491
0 days 00:21:00,64.459213,40.662506
0 days 00:21:10,64.459213,40.662491
0 days 00:21:20,64.459229,40.662491
0 days 00:21:30,64.459229,40.662491
0 days 00:21:40,64.459229,40.662491
0 days 00:21:50,64.459229,40.662476
0 days 00:22:00,64.459244,40.662491
0 days 00:22:10,64.459244,40.662491
0 days 00:22:20,64.459244,40.662491
0 days 00:22:30,64.459244,40.662491
0 days 00:22:40,64.459244,40.662491
0 days 00:22:50,64.459244,40.662491
0 days 00:23:00,64.459244,40.662491
0 days 00:23:10,64.459244,40.662491
0 days 00:23:20,64.459229,40.662476
0 days 00:23:30,64.459213,40.662476
0 days 00:23:40,64.459198,40.662476
0 days 00:23:50,64.459198,40.662476
0 days 00:24:00,64.459198,40.662476
0 days 00:24:10,64.459198,40.662476
0 days 00:24:20,64.459198,40.662476
0 days 00:24:30,64.459198,40.662476
0 days 00:24:40,64.459198,40.662476
0 days 00:24:50,64.459198,40.662476
0 days 00:25:00,64.459198,40.662476
0 days 00:25:10,64.459198,40.662476
0 days 00:25:20,64.459198,40.662476
0 days 00:25:30,64.459198,40.662476
0 days 00:25:40,64.459198,40.662476
0 days 00:25:50,64.459198,40.662476
0 days 00:26:00,64.459198,40.662476
0 days 00:26:10,64.459198,40.662476
0 days 00:26:20,64.459198,40.662476
0 days 00:26:30,64.459198,40.662476
0 days 00:26:40,64.459198,40.662476
0 days 00:26:50,64.459198,40.662476
0 days 00:27:00,64.459198,40.662476
0 days 00:27:10,64.459198,40.662476
0 days 00:27:20,64.459198,40.662476
0 days 00:27:30,64.459198,40.662476
0 days 00:27:40,64.459198,40.662476
0 days 00:27:50,64.459198,40.662476
0 days 00:28:00,64.459198,40.662476
0 days 00:28:10,64.459198,40.662476
0 days 00:28:20,64.459198,40.662476
0 days 00:28:30,64.459198,40.662476
0 days 00:28:40,64.459198,40.662476
0 days 00:28:50,64.459198,40.662476
0 days 00:29:00,64.459198,40.662476
0 days 00:29:10,64.459198,40.662476
0 days 00:29:20,64.459198,40.662491
0 days 00:29:30,64.459198,40.662491
0 days 00:29:40,64.459198,40.662491
0 days 00:29:50,64.459198,40.662491
0 days 00:30:00,64.459198,40.662491
0 days 00:30:10,64.459198,40.662491
0 days 00:30:20,64.459198,40.662491
0 days 00:30:30,64.459198,40.662491
0 days 00:30:40,64.459198,40.662491
0 days 00:30:50,64.459198,40.662491
0 days 00:31:00,64.459198,40.662491
0 days 00:31:10,64.459198,40.662491
0 days 00:31:20,64.459198,40.662491
0 days 00:31:30,64.459198,40.662491
0 days 00:31:40,64.459198,40.662491
0 days 00:31:50,64.459198,40.662491
0 days 00:32:00,64.459198,40.662491
0 days 00:32:10,64.459198,40.662491
0 days 00:32:20,64.459198,40.662491
0 days 00:32:30,64.459198,40.662491
0 days 00:32:40,64.459198,40.662491
0 days 00:32:50,64.459198,40.662491
0 days 00:33:00,64.459198,40.662491
0 days 00:33:10,64.459198,40.662491
0 days 00:33:20,64.459198,40.662506
0 days 00:33:30,64.459198,40.662506
0 days 00:33:40,64.459198,40.662506
0 days 00:33:50,64.459198,40.662521
0 days 00:34:00,64.459198,40.662521
0 days 00:34:10,64.459198,40.662537
0 days 00:34:20,64.459198,40.662537
0 days 00:34:30,64.459198,40.662537
0 days 00:34:40,64.459198,40.662552
0 days 00:34:50,64.459198,40.662567
0 days 00:35:00,64.459198,40.662567
0 days 00:35:10,64.459198,40.662567
0 days 00:35:20,64.459198,40.662567
0 days 00:35:30,64.459198,40.662567
0 days 00:35:40,64.459198,40.662567
0 days 00:35:50,64.459198,40.662552
0 days 00:36:00,64.459198,40.662552
0 days 00:36:10,64.459198,40.662552
0 days 00:36:20,64.459198,40.662552
0 days 00:36:30,64.459198,40.662552
0 days 00:36:40,64.459198,40.662552
0 days 00:36:50,64.459198,40.662552
0 days 00:37:00,64.459198,40.662552
0 days 00:37:10,64.459198,40.662552
0 days 00:37:20,64.459198,40.662552
0 days 00:37:30,64.459198,40.662552
0 days 00:37:40,64.459198,40.662552
0 days 00:37:50,64.459198,40.662552
0 days 00:38:00,64.459198,40.662537
0 days 00:38:10,64.459213,40.662537
0 days 00:38:20,64.459213,40.662537
0 days 00:38:30,64.459213,40.662537
0 days 00:38:40,64.459213,40.662537
0 days 00:38:50,64.459213,40.662537
0 days 00:39:00,64.459213,40.662537
0 days 00:39:10,64.459213,40.662537
0 days 00:39:20,64.459213,40.662537
0 days 00:39:30,64.459213,40.662537
0 days 00:39:40,64.459213,40.662537
0 days 00:39:50,64.459213,40.662537
0 days 00:40:00,64.459213,40.662537
0 days 00:40:10,64.459213,40.662537
0 days 00:40:20,64.459213,40.662537
0 days 00:40:30,64.459213,40.662537
0 days 00:40:40,64.459213,40.662537
0 days 00:40:50,64.459213,40.662537
