time,lat,lon
0 days 00:00:00,53.735706,75.013565
0 days 00:00:10,53.735706,75.013565
0 days 00:00:20,53.735706,75.013565
0 days 00:00:30,53.735706,75.013565
0 days 00:00:40,53.735706,75.013565
0 days 00:00:50,53.735706,75.013565
0 days 00:01:00,53.735706,75.013565
0 days 00:01:10,53.735706,75.013565
0 days 00:01:20,53.735706,75.013565
0 days 00:01:30,53.735706,75.013565
0 days 00:01:40,53.735706,75.013565
0 days 00:01:50,53.735706,75.013565
0 days 00:02:00,53.735706,75.013565
0 days 00:02:10,53.735706,75.013565
0 days 00:02:20,53.735706,75.013565
0 days 00:02:30,53.735706,75.013565
0 days 00:02:40,53.735706,75.013565
0 days 00:02:50,53.735706,75.013565
0 days 00:03:00,53.735706,75.013565
0 days 00:03:10,53.735706,75.013565
0 days 00:03:20,53.735706,75.013565
0 days 00:03:30,53.735706,75.013565
0 days 00:03:40,53.735706,75.013565
0 days 00:03:50,53.735706,75.013565
0 days 00:04:00,53.735706,75.013565
0 days 00:04:10,53.735706,75.013565
0 days 00:04:20,53.735706,75.013565
0 days 00:04:30,53.735706,75.013565
0 days 00:04:40,53.735706,75.013565
0 days 00:04:50,53.735706,75.013565
0 days 00:05:00,53.735706,75.013565
0 days 00:05:10,53.735706,75.013565
0 days 00:05:20,53.735706,75.013565
0 days 00:05:30,53.735706,75.013565
0 days 00:05:40,53.735706,75.013565
0 days 00:05:50,53.735706,75.013565
0 days 00:06:00,53.735706,75.013565
0 days 00:06:08,53.735706,75.013565
0 days 00:06:18,53.735706,75.013565
0 days 00:06:28,53.735706,75.013565
0 days 00:06:38,53.735706,75.013565
0 days 00:06:48,53.735706,75.013565
0 days 00:06:58,53.735706,75.013565
0 days 00:07:08,53.735706,75.013565
0 days 00:07:18,53.735706,75.013565
0 days 00:07:28,53.735706,75.013565
0 days 00:07:38,53.735706,75.013565
0 days 00:07:48,53.735706,75.013565
0 days 00:07:58,53.735706,75.013565
0 days 00:08:08,53.735706,75.013565
0 days 00:08:18,53.735706,75.013565
0 days 00:08:19,53.735706,75.013565
0 days 00:08:29,53.735706,75.013565
0 days 00:08:39,53.735706,75.013565
0 days 00:08:49,53.735706,75.013565
0 days 00:08:59,53.735706,75.013565
0 days 00:09:09,53.735706,75.013565
0 days 00:09:19,53.735706,75.013565
0 days 00:09:29,53.735706,75.013565
0 days 00:09:39,53.735706,75.013565
0 days 00:09:49,53.735706,75.013565
0 days 00:09:59,53.735706,75.013565
0 days 00:10:09,53.735706,75.013565
0 days 00:10:19,53.735706,75.013565
