time,lat,lon
0 days 00:00:00,48.569763,44.151993
0 days 00:00:10,48.569775,44.152012
0 days 00:00:20,48.569801,44.151993
0 days 00:00:30,48.569828,44.152
0 days 00:00:40,48.569866,44.152
0 days 00:00:50,48.569878,44.152
0 days 00:01:00,48.569878,44.152016
0 days 00:01:10,48.569881,44.152035
0 days 00:01:20,48.569866,44.152046
0 days 00:01:30,48.569881,44.151997
0 days 00:01:40,48.569908,44.151928
0 days 00:01:50,48.569935,44.151901
0 days 00:02:00,48.569958,44.151871
0 days 00:02:10,48.569984,44.151848
0 days 00:02:20,48.570004,44.151829
0 days 00:02:30,48.570023,44.151817
0 days 00:02:40,48.570057,44.151802
0 days 00:02:50,48.570076,44.151768
0 days 00:03:00,48.570107,44.151749
0 days 00:03:10,48.570114,44.151726
0 days 00:03:20,48.570126,44.151707
0 days 00:03:30,48.570171,44.151733
0 days 00:03:40,48.57019,44.151733
0 days 00:03:50,48.570202,44.151726
0 days 00:04:00,48.570221,44.151726
0 days 00:04:10,48.570263,44.151787
0 days 00:04:20,48.570316,44.151928
0 days 00:04:30,48.570301,44.151905
0 days 00:04:40,48.570297,44.151836
0 days 00:04:50,48.570316,44.151806
0 days 00:05:00,48.570347,44.151806
0 days 00:05:10,48.570358,44.151825
0 days 00:05:20,48.570358,44.151772
0 days 00:05:30,48.570354,44.151741
0 days 00:05:40,48.570358,44.151733
0 days 00:05:50,48.570366,44.15173
0 days 00:06:00,48.57037,44.151726
0 days 00:06:10,48.570377,44.151718
0 days 00:06:20,48.570385,44.151707
0 days 00:06:30,48.570389,44.151699
0 days 00:06:40,48.570404,44.151714
0 days 00:06:50,48.570404,44.151726
0 days 00:07:00,48.5704,44.151688
0 days 00:07:10,48.5704,44.151688
0 days 00:07:20,48.570396,44.151695
0 days 00:07:30,48.5704,44.151691
0 days 00:07:40,48.5704,44.151695
0 days 00:07:50,48.570408,44.151695
0 days 00:08:00,48.570404,44.151699
0 days 00:08:10,48.5704,44.151695
0 days 00:08:20,48.5704,44.151691
0 days 00:08:30,48.570396,44.15168
0 days 00:08:40,48.570389,44.151657
0 days 00:08:50,48.570389,44.151653
0 days 00:09:00,48.570389,44.151638
0 days 00:09:10,48.570393,44.151627
0 days 00:09:20,48.5704,44.151619
0 days 00:09:30,48.570408,44.151615
0 days 00:09:40,48.570412,44.151608
0 days 00:09:50,48.570419,44.151588
0 days 00:10:00,48.570419,44.151546
0 days 00:10:10,48.570419,44.151508
0 days 00:10:20,48.570404,44.151485
0 days 00:10:30,48.570404,44.151501
0 days 00:10:40,48.570396,44.151524
0 days 00:10:50,48.570381,44.151485
0 days 00:11:00,48.570381,44.151493
0 days 00:11:10,48.570385,44.151501
0 days 00:11:20,48.570389,44.151535
0 days 00:11:30,48.570396,44.151569
0 days 00:11:40,48.570404,44.151592
0 days 00:11:50,48.570412,44.151619
0 days 00:12:00,48.570419,44.151638
0 days 00:12:10,48.570423,44.151642
0 days 00:12:20,48.570427,44.151649
0 days 00:12:30,48.570427,44.151661
0 days 00:12:40,48.570431,44.151661
0 days 00:12:50,48.570419,44.15163
0 days 00:13:00,48.570408,44.151619
0 days 00:13:10,48.5704,44.151604
0 days 00:13:20,48.570404,44.151604
0 days 00:13:30,48.570393,44.151596
0 days 00:13:40,48.570393,44.151585
0 days 00:13:50,48.5704,44.151588
0 days 00:14:00,48.570412,44.1516
0 days 00:14:10,48.570412,44.151604
0 days 00:14:20,48.570419,44.151615
0 days 00:14:30,48.570423,44.151627
0 days 00:14:40,48.570427,44.151627
0 days 00:14:50,48.570438,44.15163
0 days 00:15:00,48.570446,44.151623
0 days 00:15:10,48.57045,44.151623
0 days 00:15:20,48.570435,44.151608
0 days 00:15:30,48.570435,44.151608
0 days 00:15:40,48.570446,44.151619
0 days 00:15:50,48.57045,44.151627
0 days 00:16:00,48.570454,44.151627
0 days 00:16:10,48.570461,44.151627
0 days 00:16:20,48.570469,44.151638
0 days 00:16:30,48.570469,44.151638
0 days 00:16:40,48.570461,44.151638
0 days 00:16:50,48.570465,44.151642
0 days 00:17:00,48.570469,44.151642
0 days 00:17:10,48.570473,44.151649
0 days 00:17:20,48.570473,44.151657
0 days 00:17:30,48.570469,44.151661
0 days 00:17:40,48.570465,44.151665
0 days 00:17:50,48.570461,44.151669
0 days 00:18:00,48.570461,44.151672
0 days 00:18:10,48.570465,44.151672
0 days 00:18:20,48.570457,44.151665
0 days 00:18:30,48.570446,44.151661
0 days 00:18:40,48.570431,44.151649
0 days 00:18:50,48.570427,44.151642
0 days 00:19:00,48.570415,44.15163
0 days 00:19:10,48.570408,44.151623
0 days 00:19:20,48.570404,44.151611
0 days 00:19:30,48.570408,44.151604
0 days 00:19:40,48.570415,44.151604
0 days 00:19:50,48.570423,44.151604
0 days 00:20:00,48.570427,44.1516
0 days 00:20:10,48.570423,44.151596
0 days 00:20:20,48.570423,44.151604
0 days 00:20:30,48.570427,44.1516
0 days 00:20:40,48.570427,44.151608
0 days 00:20:50,48.570423,44.151619
0 days 00:21:00,48.570415,44.151615
0 days 00:21:10,48.570415,44.151611
0 days 00:21:20,48.570412,44.1516
0 days 00:21:30,48.570412,44.151611
0 days 00:21:40,48.570415,44.151627
0 days 00:21:50,48.570427,44.151634
0 days 00:22:00,48.570431,44.151642
0 days 00:22:10,48.570427,44.151642
0 days 00:22:20,48.570423,44.151634
0 days 00:22:30,48.570427,44.15163
0 days 00:22:40,48.570423,44.151634
0 days 00:22:50,48.570431,44.151638
0 days 00:23:00,48.570431,44.151642
0 days 00:23:10,48.570435,44.151646
0 days 00:23:20,48.570438,44.151646
0 days 00:23:30,48.57045,44.151649
0 days 00:23:40,48.570465,44.151653
0 days 00:23:50,48.57048,44.151649
0 days 00:24:00,48.570499,44.151649
0 days 00:24:10,48.570515,44.151646
0 days 00:24:20,48.570538,44.151638
0 days 00:24:30,48.570557,44.151627
0 days 00:24:40,48.570576,44.151627
0 days 00:24:50,48.570599,44.151619
0 days 00:25:00,48.570621,44.151611
0 days 00:25:10,48.570648,44.151604
0 days 00:25:20,48.570671,44.151592
0 days 00:25:30,48.570698,44.151577
0 days 00:25:40,48.570728,44.151566
0 days 00:25:50,48.570755,44.15155
0 days 00:26:00,48.570782,44.151539
0 days 00:26:10,48.570812,44.15152
0 days 00:26:20,48.570847,44.151501
0 days 00:26:30,48.570877,44.151485
0 days 00:26:40,48.570911,44.15147
0 days 00:26:50,48.570942,44.151459
0 days 00:27:00,48.57098,44.15144
0 days 00:27:10,48.571011,44.151428
0 days 00:27:20,48.571041,44.151417
0 days 00:27:30,48.571072,44.151409
0 days 00:27:40,48.571098,44.151402
0 days 00:27:50,48.571125,44.151394
0 days 00:28:00,48.571152,44.151386
