time,lat,lon
0 days 00:10:44,58.163307,39.024704
0 days 00:10:48,58.162376,39.025433
0 days 00:10:52,58.161427,39.025974
0 days 00:10:56,58.160416,39.026279
0 days 00:11:00,58.159416,39.02639
0 days 00:11:04,58.158447,39.026314
0 days 00:11:08,58.157421,39.026005
0 days 00:11:12,58.15646,39.02549
0 days 00:11:16,58.155518,39.024761
0 days 00:11:20,58.154671,39.023872
0 days 00:11:24,58.153774,39.022762
0 days 00:11:28,58.153069,39.021545
0 days 00:11:32,58.152386,39.020119
0 days 00:11:36,58.151726,39.01862
0 days 00:11:40,58.151318,39.016953
0 days 00:11:44,58.150913,39.015194
0 days 00:11:48,58.15062,39.013355
0 days 00:11:52,58.150368,39.011532
0 days 00:11:56,58.150368,39.009621
0 days 00:12:00,58.150433,39.007732
0 days 00:12:04,58.150555,39.005817
0 days 00:12:08,58.150734,39.004036
0 days 00:12:12,58.151157,39.002258
0 days 00:12:16,58.151676,39.000595
0 days 00:12:20,58.152164,38.999043
0 days 00:12:24,58.152866,38.997536
0 days 00:12:28,58.153522,38.996265
0 days 00:12:32,58.154434,38.995159
0 days 00:12:36,58.155231,38.994213
0 days 00:12:40,58.156105,38.993488
0 days 00:12:44,58.157047,38.992931
0 days 00:12:48,58.158016,38.992569
0 days 00:12:52,58.159,38.992416
0 days 00:12:56,58.159977,38.992447
0 days 00:13:00,58.160938,38.992714
0 days 00:13:04,58.161865,38.993149
0 days 00:13:08,58.162941,38.993813
0 days 00:13:12,58.163761,38.994762
0 days 00:13:16,58.164551,38.995804
0 days 00:13:20,58.165306,38.997032
0 days 00:13:24,58.165981,38.998417
0 days 00:13:28,58.166576,38.999943
0 days 00:13:32,58.167107,39.001629
0 days 00:13:36,58.167553,39.003368
0 days 00:13:40,58.167831,39.005154
0 days 00:13:53,58.168091,39.014442
0 days 00:13:57,58.167782,39.01619
0 days 00:14:01,58.167324,39.017864
0 days 00:14:05,58.166763,39.019444
0 days 00:14:09,58.166145,39.020935
0 days 00:14:13,58.165478,39.022274
0 days 00:14:17,58.164722,39.02346
0 days 00:14:21,58.16386,39.02441
0 days 00:14:25,58.162922,39.025169
0 days 00:14:29,58.161945,39.02578
0 days 00:14:33,58.160938,39.026184
0 days 00:14:37,58.159878,39.026428
0 days 00:14:41,58.158871,39.026402
0 days 00:14:45,58.15786,39.026127
0 days 00:14:49,58.156853,39.02573
0 days 00:14:53,58.155899,39.025074
0 days 00:14:57,58.154907,39.024311
0 days 00:15:01,58.153996,39.023293
0 days 00:15:05,58.15324,39.021976
0 days 00:15:09,58.152489,39.020855
0 days 00:15:13,58.151814,39.019527
0 days 00:15:17,58.151203,39.017971
0 days 00:15:21,58.150749,39.016171
0 days 00:15:25,58.150414,39.014465
0 days 00:15:29,58.150181,39.012566
0 days 00:15:33,58.150154,39.010296
0 days 00:15:38,58.150227,39.008163
0 days 00:15:42,58.150341,39.006275
0 days 00:15:46,58.150562,39.004421
0 days 00:15:50,58.150887,39.002628
0 days 00:15:54,58.151318,39.000916
0 days 00:15:58,58.151855,38.999336
0 days 00:16:02,58.152481,38.997871
0 days 00:16:06,58.153191,38.996582
0 days 00:16:10,58.15406,38.995235
0 days 00:16:14,58.154865,38.994385
0 days 00:16:18,58.155769,38.993576
0 days 00:16:22,58.156704,38.992966
0 days 00:16:26,58.157681,38.992561
0 days 00:16:30,58.158676,38.99239
0 days 00:16:34,58.159756,38.99226
0 days 00:16:38,58.160774,38.992577
0 days 00:16:42,58.161728,38.993034
0 days 00:16:46,58.162647,38.993687
0 days 00:16:50,58.163532,38.994522
0 days 00:16:54,58.164371,38.995533
0 days 00:16:58,58.165146,38.996716
0 days 00:17:02,58.165852,38.998089
0 days 00:17:06,58.166447,38.999527
0 days 00:17:10,58.166985,39.001186
0 days 00:17:14,58.1674,39.003063
0 days 00:17:18,58.167683,39.004925
0 days 00:17:23,58.168056,39.006905
0 days 00:17:28,58.168221,39.009357
0 days 00:17:33,58.168312,39.011547
0 days 00:17:37,58.168163,39.013531
0 days 00:17:41,58.16787,39.015392
0 days 00:17:45,58.167458,39.017109
0 days 00:17:49,58.166943,39.018703
0 days 00:17:53,58.166332,39.02021
0 days 00:17:57,58.165634,39.021564
