time,lat,lon
0 days 00:00:00,69.698296,60.057983
0 days 00:00:10,69.698296,60.057983
0 days 00:00:20,69.698296,60.05798
0 days 00:00:30,69.698296,60.057976
0 days 00:00:40,69.698296,60.057976
0 days 00:00:50,69.698296,60.057972
0 days 00:01:00,69.698296,60.057968
0 days 00:01:10,69.698296,60.057968
0 days 00:01:20,69.698296,60.057964
0 days 00:01:30,69.698296,60.057961
0 days 00:01:40,69.698296,60.057957
0 days 00:01:50,69.698296,60.057957
0 days 00:02:00,69.698296,60.057953
0 days 00:02:10,69.698296,60.057949
0 days 00:02:20,69.698296,60.057949
0 days 00:02:30,69.698296,60.057945
0 days 00:02:40,69.698296,60.057945
0 days 00:02:50,69.698296,60.057941
0 days 00:03:00,69.698296,60.057941
0 days 00:03:10,69.698296,60.057941
0 days 00:03:20,69.698296,60.057941
0 days 00:03:30,69.698296,60.057938
0 days 00:03:40,69.698296,60.057938
0 days 00:03:50,69.698296,60.057938
0 days 00:04:00,69.698296,60.057938
0 days 00:04:10,69.698296,60.057938
0 days 00:04:20,69.698296,60.057938
0 days 00:04:30,69.698296,60.057938
0 days 00:04:40,69.698296,60.057938
0 days 00:04:50,69.698296,60.057938
0 days 00:05:00,69.698296,60.057938
0 days 00:05:10,69.698296,60.057941
0 days 00:05:20,69.698296,60.057941
0 days 00:05:30,69.698296,60.057941
0 days 00:05:40,69.698296,60.057941
0 days 00:05:50,69.698296,60.057941
0 days 00:06:00,69.698296,60.057941
0 days 00:06:10,69.698296,60.057941
0 days 00:06:20,69.698296,60.057941
0 days 00:06:30,69.698296,60.057941
0 days 00:06:40,69.698296,60.05793
0 days 00:06:50,69.698296,60.057907
0 days 00:07:00,69.698296,60.057884
0 days 00:07:10,69.698296,60.057854
0 days 00:07:20,69.698296,60.057819
0 days 00:07:30,69.698303,60.057796
0 days 00:07:40,69.698303,60.057777
0 days 00:07:50,69.698311,60.057762
0 days 00:08:00,69.698311,60.057751
0 days 00:08:10,69.698311,60.057739
0 days 00:08:20,69.698311,60.057739
0 days 00:08:30,69.698311,60.057739
0 days 00:08:40,69.698311,60.057735
0 days 00:08:50,69.698311,60.057735
0 days 00:09:00,69.698311,60.057732
0 days 00:09:10,69.698311,60.057732
0 days 00:09:20,69.698311,60.057732
0 days 00:09:30,69.698311,60.057732
0 days 00:09:40,69.698311,60.057728
0 days 00:09:50,69.698311,60.057728
0 days 00:10:00,69.698311,60.057728
0 days 00:10:10,69.698311,60.057728
0 days 00:10:20,69.698311,60.057728
0 days 00:10:30,69.698311,60.057728
0 days 00:10:40,69.698311,60.057724
0 days 00:10:50,69.698311,60.05772
0 days 00:11:00,69.698311,60.05772
0 days 00:11:10,69.698311,60.05772
0 days 00:11:20,69.698311,60.057716
0 days 00:11:30,69.698311,60.057716
0 days 00:11:40,69.698311,60.057716
0 days 00:11:50,69.698311,60.057713
0 days 00:12:00,69.698311,60.057713
0 days 00:12:10,69.698311,60.057713
0 days 00:12:20,69.698311,60.057713
0 days 00:12:30,69.698311,60.057713
0 days 00:12:40,69.698311,60.057713
0 days 00:12:50,69.698311,60.057709
0 days 00:13:00,69.698311,60.057709
0 days 00:13:10,69.698311,60.057709
0 days 00:13:20,69.698311,60.057709
0 days 00:13:30,69.698311,60.057709
0 days 00:13:40,69.698303,60.057713
0 days 00:13:50,69.698303,60.057713
0 days 00:14:00,69.698303,60.057716
0 days 00:14:10,69.698303,60.057716
0 days 00:14:20,69.698303,60.05772
0 days 00:14:30,69.698303,60.05772
0 days 00:14:40,69.698303,60.05772
0 days 00:14:50,69.698303,60.05772
0 days 00:15:00,69.698303,60.05772
0 days 00:15:10,69.698303,60.057716
0 days 00:15:20,69.698303,60.057716
0 days 00:15:30,69.698303,60.057716
0 days 00:15:40,69.698303,60.05772
0 days 00:15:50,69.698303,60.05772
0 days 00:16:00,69.698303,60.05772
0 days 00:16:10,69.698303,60.057724
0 days 00:16:20,69.698303,60.057724
0 days 00:16:30,69.698303,60.057728
0 days 00:16:40,69.698303,60.057732
0 days 00:16:50,69.698303,60.057732
0 days 00:17:00,69.698303,60.057732
0 days 00:17:10,69.698303,60.057732
0 days 00:17:20,69.698303,60.057732
0 days 00:17:30,69.698303,60.057732
0 days 00:17:40,69.698303,60.057732
0 days 00:17:50,69.698303,60.057732
0 days 00:18:00,69.698303,60.057732
0 days 00:18:10,69.698303,60.057735
0 days 00:18:20,69.698303,60.057735
