metric,title,scheme,status,kind,model,count,mean,variance,std,min,p05,p25,p50,p75,p95,max,display_percentile,display_min,display_max,file
3_status__anomaly__log_likelihood__CV,Логарифм правдоподобия,3_status,anomaly,log_likelihood,CV,139164,-219619.94326965717,250285198990920.34,15820404.51413681,-4420274610.117545,-7024.61357755202,-72.33085275516893,-5.4109925773994885,-4.982929155083394,-4.961488660507049,-4.655354980384831,95.0,-42405.160091302,-4.960197395220901,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\CV\3_status\anomaly\log_likelihood\CV.png
3_status__anomaly__mahalanobis__CV,Квадрат расстояния Махаланобиса,3_status,anomaly,mahalanobis,CV,139164,439229.0019512336,1001140796420085.5,31640809.03548589,2.425701042695306e-07,0.004599793673057079,0.046222676560748036,0.8216856618118575,130.94308703868376,14039.384182298265,8840549210.391064,95.0,0.0020632609646257837,84800.40786147406,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\CV\3_status\anomaly\mahalanobis\CV.png
3_status__anomaly__filter_distance__CV,"Расстояние между измерением и оценкой фильтра, м",3_status,anomaly,filter_distance,CV,139164,4.180289896293196,3413.062040648683,58.42141765353425,3.433737745249108e-12,0.0043061117193840814,0.0174355209489679,0.06881603883357573,0.8403841066464317,10.013277402785036,8719.980821356641,95.0,0.0015100516689450002,25.14621876064823,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\CV\3_status\anomaly\filter_distance\CV.png
3_status__anomaly__sqrt_mahalanobis__CV,Корень из квадрата расстояния Махаланобиса,3_status,anomaly,sqrt_mahalanobis,CV,139164,49.0860441636728,436819.56221959554,660.9232650010102,0.0004925140650474162,0.06782177872622072,0.21499459658408185,0.9064687815887528,11.443036617139345,118.48790732352104,94024.19481384067,95.0,0.04542313245958702,291.20509586649905,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\CV\3_status\anomaly\sqrt_mahalanobis\CV.png
3_status__anomaly__log1p_filter_distance__CV,log(1 + расстояние между измерением и фильтром),3_status,anomaly,log1p_filter_distance,CV,139164,0.5378100215111892,0.8515079369817461,0.9227718769998066,3.433737745243213e-12,0.004296866950143367,0.017285266251911097,0.06655153004846232,0.6099743028327422,2.3991015814445538,9.073486990091055,95.0,0.0015089126873906096,3.2637045806447036,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\CV\3_status\anomaly\log1p_filter_distance\CV.png
3_status__move__log_likelihood__CV,Логарифм правдоподобия,3_status,move,log_likelihood,CV,113358,-695.2868025226994,26413091694.01078,162521.05000279433,-52766326.33593935,-8.037084589144664,-5.096160277926915,-4.98567000906271,-4.967197638221073,-4.960374895610636,-4.6668767057916325,95.0,-12.401248492365871,-4.959704951779039,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\CV\3_status\move\log_likelihood\CV.png
3_status__move__mahalanobis__CV,Квадрат расстояния Махаланобиса,3_status,move,mahalanobis,CV,113358,1380.6245653419282,105652367007.27515,325042.1003612842,8.763158309945294e-08,0.002513562359467322,0.01610731636382516,0.05286361772163533,0.27073962995776446,6.054801272937388,105532642.84389623,95.0,0.0011832949881276204,14.371303992576385,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\CV\3_status\move\mahalanobis\CV.png
3_status__move__filter_distance__CV,"Расстояние между измерением и оценкой фильтра, м",3_status,move,filter_distance,CV,113358,0.09275256248197242,11.900041988578485,3.449643748067108,5.499435529803952e-12,0.0045260328441316154,0.011529942436648786,0.020900410857863715,0.04723564012023262,0.2228453650410821,956.5578982136014,95.0,0.0030809934671003083,0.3420575893522759,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\CV\3_status\move\filter_distance\CV.png
3_status__move__sqrt_mahalanobis__CV,Корень из квадрата расстояния Махаланобиса,3_status,move,sqrt_mahalanobis,CV,113358,1.0232313471635546,1379.5775629521097,37.142664995286886,0.0002960263216328118,0.05013544013521754,0.12691460264177382,0.22992089448670067,0.5203264646286939,2.46065057148421,10272.90819796888,95.0,0.03439905492473465,3.790950273503254,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\CV\3_status\move\sqrt_mahalanobis\CV.png
3_status__move__log1p_filter_distance__CV,log(1 + расстояние между измерением и фильтром),3_status,move,log1p_filter_distance,CV,113358,0.05361033404451797,0.017372518600518205,0.1318048504438217,5.49943552978883e-12,0.004515821158156823,0.011463979201010183,0.020684993639476165,0.04615396876267262,0.20118040955112193,6.864386187334879,95.0,0.003076256933054655,0.2942039507050692,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\CV\3_status\move\log1p_filter_distance\CV.png
3_status__stand__log_likelihood__CV,Логарифм правдоподобия,3_status,stand,log_likelihood,CV,51672,-6403.347415137149,475887647186.8271,689846.1039875684,-131691800.73418601,-13.899472469804131,-5.465920272693529,-5.021672933572043,-4.972130303677902,-4.960895716793143,-4.660417120317329,95.0,-32.641019238630676,-4.959968005648514,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\CV\3_status\stand\log_likelihood\CV.png
3_status__stand__mahalanobis__CV,Квадрат расстояния Махаланобиса,3_status,stand,mahalanobis,CV,51672,12796.726510346209,1903550579736.3816,1379692.20470958,1.2960471235810156e-07,0.0035299301660609472,0.025896569035903455,0.1240538450588026,0.9988136872815837,17.428360677806996,263383591.59457713,95.0,0.0016981320274294537,54.79493140723818,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\CV\3_status\stand\mahalanobis\CV.png
3_status__stand__filter_distance__CV,"Расстояние между измерением и оценкой фильтра, м",3_status,stand,filter_distance,CV,51672,0.29737359806129865,102.0922148998988,10.104069224817238,3.637978807091713e-12,0.005361461244087094,0.014602881513312557,0.031943051321438744,0.09060985128050936,0.3762069416338939,1493.9573282189551,95.0,0.003654716167728568,0.6555686302853628,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\CV\3_status\stand\filter_distance\CV.png
3_status__stand__sqrt_mahalanobis__CV,Корень из квадрата расстояния Махаланобиса,3_status,stand,sqrt_mahalanobis,CV,51672,3.413712474608612,12785.07307748691,113.07109744531053,0.000360006544882314,0.059413215293445586,0.1609241091773442,0.3522127813196194,0.9994066654014969,4.174728788062633,16229.097066521512,95.0,0.04120839662346012,7.402359203897221,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_1\distributions\2\CV\3_status\stand\sqrt_mahalanobis\CV.png
