,precision,recall,f1-score,support
stand,0.3539140137565417,0.7537038689812129,0.48165773704491904,89636.0
move,0.8950071608474492,0.2461906982851916,0.3861599215875677,220841.0
anomaly,0.0005264588003532369,0.6888888888888889,0.0010521135603862276,45.0
accuracy,0.3927547806596634,0.3927547806596634,0.3927547806596634,0.3927547806596634
macro avg,0.4164825444681148,0.5629278187184311,0.28962325739762435,310522.0
weighted avg,0.7386843335945245,0.3927547806596634,0.41367073349453054,310522.0
