,precision,recall,f1-score,support
stand,0.6548159079665608,0.871234771743496,0.7476794784032322,89636.0
move,0.9329173267806913,0.6532799616013331,0.7684494228812792,220841.0
anomaly,0.0004915883766659384,0.4,0.000981969940809034,45.0
accuracy,0.7161585974584731,0.7161585974584731,0.7161585974584731,0.7161585974584731
macro avg,0.5294082743746392,0.641504911114943,0.5057036237417735,310522.0
weighted avg,0.8525048022734049,0.7161585974584731,0.7623427032974283,310522.0
