profile,model,feature,threshold,threshold_direction,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,valid_accuracy,valid_balanced_accuracy,valid_precision,valid_recall,valid_f1,valid_roc_auc,valid_pr_auc
from_1,CV,log_likelihood,-8.136603463447003,low,0.8834076808220576,0.6595528377049321,0.7362132229405519,0.3404986728166746,0.46563918594964043,0.661441087355913,0.44111841848345734,0.9211206008141393,0.8716785788290973,0.001508849196639752,0.8222222222222222,0.0030121707982252617,0.9054026139117308,0.011133205640222394
from_1,CV,mahalanobis,6.845923529563037,high,0.8789023157465199,0.6506792770412128,0.7035658122874693,0.3253992428527914,0.44499039393372664,0.5715271953374941,0.42832072686610284,0.9022260009275004,0.8177919070303767,0.001086205194035746,0.7333333333333333,0.0021691973969631237,0.8591149247209311,0.010733086905510732
from_1,CV,filter_distance,0.4125375257080422,high,0.8767943094030252,0.6216534432339849,0.7547461448938028,0.25800816823835837,0.3845565855489,0.5447082778870082,0.38459086441923923,0.862874864739527,0.7758944858337065,0.0007277678655272796,0.6888888888888889,0.0014539996716774934,0.8233845214538815,0.008125410516055722
from_1,CV,sqrt_mahalanobis,2.616471580116528,high,0.8789023157465199,0.6506792770412128,0.7035658122874693,0.3253992428527914,0.44499039393372664,0.5715271953374941,0.42832072686610284,0.9022260009275004,0.8177919070303767,0.001086205194035746,0.7333333333333333,0.0021691973969631237,0.8591149247209311,0.010733086905510732
from_1,CV,log1p_filter_distance,0.3453877505512706,high,0.8767943094030252,0.6216534432339849,0.7547461448938028,0.25800816823835837,0.3845565855489,0.5447082778870082,0.38459086441923923,0.862874864739527,0.7758944858337065,0.0007277678655272796,0.6888888888888889,0.0014539996716774934,0.8233845214538815,0.008125410516055722
from_1,RW,log_likelihood,-12.537037256918465,low,0.8827232511337606,0.6153670421106341,0.9199023794996949,0.23431157415753387,0.3734901556663133,0.5229823558541473,0.34956796757629904,0.9927313598186221,0.6630801341205346,0.006690454950936664,0.3333333333333333,0.013117621337997376,0.6210266397967507,0.011916806971136536
from_1,RW,mahalanobis,9.733608849220154,high,0.8829059511996068,0.6143440652633463,0.9337276919991979,0.23157017909204497,0.3711042373345686,0.47377807592980764,0.3422749287926079,0.992921368578348,0.618737149734647,0.005057471264367816,0.24444444444444444,0.00990990990990991,0.585314882275912,0.011669036112284124
from_1,RW,filter_distance,0.06700790742453891,high,0.881436931380823,0.6100692181664117,0.925369673862641,0.22329626337284839,0.359776648220948,0.4696666207423609,0.3357296476648386,0.9773889575926212,0.6776268223890676,0.0024251069900142652,0.37777777777777777,0.004819277108433735,0.5977622241476371,0.015020144966435153
from_1,RW,sqrt_mahalanobis,3.1198732102435636,high,0.8829059511996068,0.6143440652633463,0.9337276919991979,0.23157017909204497,0.3711042373345686,0.4737780759365836,0.3422749288384447,0.992921368578348,0.618737149734647,0.005057471264367816,0.24444444444444444,0.00990990990990991,0.585314882275912,0.011669036112284124
from_1,RW,log1p_filter_distance,0.06485838318674086,high,0.881436931380823,0.6100692181664117,0.925369673862641,0.22329626337284839,0.359776648220948,0.4696666207423609,0.3357296476648386,0.9773889575926212,0.6776268223890676,0.0024251069900142652,0.37777777777777777,0.004819277108433735,0.5977622241476371,0.015020144966435153
from_2,CV,log_likelihood,-6.886349831441019,low,0.8839121926790136,0.6605465011468966,0.7398690877810782,0.3421895105894932,0.4679514426101297,0.6543487223311932,0.44036069144106904,0.9386851393826969,0.8249146178713572,0.001679084898730192,0.7111111111111111,0.0033502591216039365,0.8639275313926728,0.0071229831371607015
from_2,CV,mahalanobis,5.10577857306087,high,0.8837684438962412,0.6533544337734797,0.7574844225474568,0.32495166814822185,0.4547997407309126,0.5598745083847773,0.42601285430676716,0.932453496161179,0.7662508414742952,0.0012867559452890435,0.6,0.0025680045653414495,0.8039029018292514,0.006625974417174898
from_2,CV,filter_distance,1.0423290092100588,high,0.8798668237083477,0.6318508071007884,0.7690418534356913,0.2783603846655933,0.40876518754507196,0.5389362619797611,0.38919758325515175,0.8969733858916885,0.7485082150437888,0.00084375,0.6,0.001685130285535965,0.766283194170216,0.0073108759821072485
from_2,CV,sqrt_mahalanobis,2.259596993488763,high,0.8837684438962412,0.6533544337734797,0.7574844225474568,0.32495166814822185,0.4547997407309126,0.5598745083847773,0.42601285430676716,0.932453496161179,0.7662508414742952,0.0012867559452890435,0.6,0.0025680045653414495,0.8039029018292514,0.006625974417174898
from_2,CV,log1p_filter_distance,0.7140908277813317,high,0.8798668237083477,0.6318508071007884,0.7690418534356913,0.2783603846655933,0.40876518754507196,0.5389362619797611,0.38919758325515175,0.8969733858916885,0.7485082150437888,0.00084375,0.6,0.001685130285535965,0.766283194170216,0.0073108759821072485
from_2,RW,log_likelihood,-8.606702521507929,low,0.46493178888404574,0.6547959859974045,0.20855123526403901,0.9254042159050644,0.34039113643587043,0.5743952994433326,0.35946687473075234,0.2213795280053589,0.49953832989228053,0.00014475011993581366,0.7777777777777778,0.0002894463717897296,0.5776452176166156,0.011612529723746545
from_2,RW,mahalanobis,4.335021479393332,high,0.8829059511996068,0.6143440652633463,0.9337276919991979,0.23157017909204497,0.3711042373345686,0.47387007018449223,0.34229667743319464,0.9929310300407069,0.6187419811660069,0.0050644567219152855,0.24444444444444444,0.009923319801533603,0.5831245260276364,0.01150904862280917
