profile,model,classifier,feature_set,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_pr_auc,valid_accuracy,valid_balanced_accuracy,valid_precision,valid_recall,valid_f1,valid_roc_auc,valid_pr_auc
from_1,CV,logistic,all_statistics,0.8293640857283291,0.6245645942435915,0.4111898212886273,0.3326640849841805,0.3677821263026963,0.5446333525660016,0.38606289596210974,0.7716361481634152,0.7635970172061413,0.00047931204623951506,0.7555555555555555,0.0009580163426317273,0.8008797932070831,0.008121248134128081
from_1,RW,logistic,all_statistics,0.7574557864767363,0.5618762426053862,0.23753324641460236,0.28311691540742306,0.25832962308615054,0.4699347852869293,0.3365991280370012,0.5717340478291393,0.5192079713902586,0.00015791492145612597,0.4666666666666667,0.0003157230056830141,0.596697626197396,0.015020034580382343
from_1,CV+RW,logistic,CV+RW_all_statistics,0.8348542599857182,0.6286650254231776,0.4311617406897435,0.3347837167525501,0.37690916152599957,0.5268802038931116,0.394469527667363,0.7724476848661287,0.7528933436829996,0.00046688643341209095,0.7333333333333333,0.0009331787461471029,0.8132428489066824,0.03041745311018235
from_2,CV,logistic,all_statistics,0.7880468148642759,0.6099097267001563,0.31431581951289117,0.3560111140809438,0.3338667133009808,0.5389546717235505,0.39017033096506065,0.7830781715949272,0.7359903560578651,0.00046010448824507244,0.6888888888888889,0.0009195947850076386,0.7676071550120191,0.007311281220450932
from_2,RW,logistic,all_statistics,0.7425581244377673,0.5542668292796701,0.220374877819729,0.2858954356433797,0.24889538265892824,0.4700240875353626,0.3366378552141498,0.555039578516176,0.5108595269000066,0.00015198998313634948,0.4666666666666667,0.0003038809944143779,0.5920297907198708,0.01501507946974506
from_2,CV+RW,logistic,CV+RW_all_statistics,0.792762614880969,0.6118532726237348,0.3226923229472992,0.3540033690334852,0.33762345715606884,0.5288899766299772,0.3944719410989225,0.7825500286614153,0.7357262463170469,0.00045898726680485637,0.6888888888888889,0.0009173633202633721,0.757758724657722,0.03132357962117688
from_3,CV,logistic,all_statistics,0.8784186072392399,0.5985380436779417,0.9321394363335559,0.1996245578920542,0.3288281369989249,0.5444535353737605,0.3829825683921432,0.8352290658954921,0.7620695825384095,0.0006056816849673713,0.6888888888888889,0.001210299256251586,0.8014754716130341,0.0023544104553563238
from_3,RW,logistic,all_statistics,0.8429615409583693,0.5924248142615931,0.4497719064816575,0.23533506964948378,0.30899438080741715,0.4699060760193332,0.3321697527026295,0.9051758007484172,0.6637340107139802,0.0006454242815408655,0.4222222222222222,0.0012888783366685887,0.5596024110571081,0.011301739082629124
from_3,CV+RW,logistic,CV+RW_all_statistics,0.8570403138302312,0.6078210715584416,0.5451021421002509,0.25260913617235525,0.3452321284458225,0.4698172372182757,0.34031639196812924,0.8661125459709779,0.6886375551883785,0.0005532037714065807,0.5111111111111111,0.0011052113115975109,0.6491215846011853,0.011936435401109639
