profile,model,feature,classifier,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,train_stand_f1,train_move_f1,train_anomaly_f1,valid_accuracy,valid_balanced_accuracy,valid_macro_f1,valid_weighted_f1,valid_stand_f1,valid_move_f1,valid_anomaly_f1
from_1,CV,log_likelihood,decision_tree,0.45907408953064577,0.5522583098695667,0.45577011024413183,0.46628370427225363,0.5065235744227501,0.4478829819835066,0.41290377432613884,0.19796342932223804,0.493444043914079,0.19992956163082712,0.23406360909843876,0.4548486669014522,0.1444979194246147,0.0004420985664145267
from_1,CV,mahalanobis,decision_tree,0.6146342820577024,0.5804080366540748,0.5984696117463028,0.6058190395860829,0.6560215002581349,0.5742244379782094,0.5651628970025641,0.3296255981862799,0.44492339935139186,0.23071668522565517,0.4283341045621919,0.15017347735761838,0.5413224155075684,0.0006541628117786687
from_1,CV,filter_distance,decision_tree,0.5931808697103748,0.5426644716372354,0.5711105944623658,0.5845060119789961,0.5299788080195833,0.6508431406599964,0.5325098347075178,0.4167434191458254,0.48827176838569225,0.27562553884654406,0.5176854960909082,0.16557846188041786,0.6607057473462752,0.0005924073129391631
from_1,CV,sqrt_mahalanobis,decision_tree,0.6167719259197433,0.5820843974885296,0.6013058507649975,0.6077740816363596,0.6587245932175533,0.574224776186022,0.5709681828914175,0.3383302954380044,0.44757147560382354,0.23920868044032406,0.43568726544026326,0.175646703494468,0.5413224155075684,0.0006569223189357859
from_1,CV,log1p_filter_distance,decision_tree,0.5931808697103748,0.5426644716372354,0.5711105944623658,0.5845060119789961,0.5299788080195833,0.6508431406599964,0.5325098347075178,0.4167434191458254,0.48827176838569225,0.27562553884654406,0.5176854960909082,0.16557846188041786,0.6607057473462752,0.0005924073129391631
from_1,RW,log_likelihood,decision_tree,0.7529022804625842,0.7620175394633648,0.720674251000677,0.7712270504594104,0.8379517279003706,0.7903230836774009,0.5337479414242592,0.5083118104353315,0.5319272201847998,0.3452815480154743,0.6244804554258395,0.2645796551266931,0.7706858416289467,0.0005791472907830412
from_1,RW,mahalanobis,decision_tree,0.8123454729247234,0.7151398774110417,0.7204469769899378,0.8045653143069702,0.8291058517376868,0.9097355039365506,0.4224995752955762,0.8076947849105699,0.6329198996845055,0.5341084990523325,0.8290026355685776,0.7314291294370392,0.8687747269844562,0.0021216407355021216
from_1,RW,filter_distance,decision_tree,0.8261033673687042,0.7091748060510414,0.719882113813212,0.8064470445182539,0.8375603785122978,0.9097040255386802,0.4123819373886578,0.8086029331255112,0.6755184310717324,0.5346507938717088,0.8232035071108836,0.7432536474573661,0.8558206853772725,0.004878048780487805
from_1,RW,sqrt_mahalanobis,decision_tree,0.8175073495998294,0.7379524183639833,0.7416711110902586,0.8147955362022676,0.8319866227358486,0.9097355039365506,0.483291206598377,0.5976839000135256,0.5014647799657417,0.35320400628615883,0.6728177497423605,0.19036561848164035,0.8687747269844562,0.0004716733923798543
from_1,RW,log1p_filter_distance,decision_tree,0.8261033673687042,0.7091748060510414,0.719882113813212,0.8064470445182539,0.8375603785122978,0.9097040255386802,0.4123819373886578,0.8086029331255112,0.6755184310717324,0.5346507938717088,0.8232035071108836,0.7432536474573661,0.8558206853772725,0.004878048780487805
from_2,CV,log_likelihood,decision_tree,0.6202357436311197,0.5488922642429327,0.5668534627440797,0.5976678638338254,0.5458844146104209,0.6877674341602568,0.4669085394615612,0.6174731581015194,0.5386489412681592,0.3158896872053812,0.5936601299648012,0.18354672200537905,0.7602390958077744,0.003883243802990098
from_2,CV,mahalanobis,decision_tree,0.6588199834923815,0.6186361070329881,0.6377299258352549,0.6525345381170214,0.689177066716712,0.6436138545032364,0.5803988562858162,0.29375696407983976,0.4097629222763328,0.2093832001853654,0.3927126654476707,0.12683904468366153,0.5007066193040755,0.0006039365683592142
from_2,CV,filter_distance,decision_tree,0.5985143143310241,0.5655176302426616,0.5754681455461224,0.5786312724635977,0.6603492004773572,0.5140215708122238,0.552033665348786,0.2551316814911665,0.394655179966861,0.19479269466692495,0.3465753842575554,0.16243439587671607,0.4213859150331243,0.0005577730909344442
from_2,CV,sqrt_mahalanobis,decision_tree,0.6610772612191526,0.6194384019818933,0.6402974020763205,0.6544394985619748,0.6921574397130327,0.6436138545032364,0.5851209120126923,0.31728186730730834,0.399909903565266,0.2309978656548445,0.4114431984275606,0.19172641709989757,0.5007066193040755,0.0005605605605605605
from_2,CV,log1p_filter_distance,decision_tree,0.5985143143310241,0.5655176302426616,0.5754681455461224,0.5786312724635977,0.6603492004773572,0.5140215708122238,0.552033665348786,0.2551316814911665,0.394655179966861,0.19479269466692495,0.3465753842575554,0.16243439587671607,0.4213859150331243,0.0005577730909344442
from_2,RW,log_likelihood,decision_tree,0.5414369047287836,0.6076062811887833,0.5439513332771427,0.5937011005891767,0.6126687249243068,0.6521219640473076,0.3670633108598136,0.46547426591352625,0.5127707307782514,0.32793677173040087,0.5891610793033311,0.2606537196364786,0.7226171570467473,0.0005394385079765503
from_2,RW,mahalanobis,decision_tree,0.812320433278617,0.7151722776086075,0.7204696741876502,0.8045670000970379,0.8290914079976505,0.9097194058602859,0.4225982087050144,0.8078429225626526,0.6330843338193416,0.5341930255656614,0.8290847625615151,0.7316454089726505,0.8688024182793468,0.0021312494449871235
from_2,RW,filter_distance,decision_tree,0.815233378775654,0.7338116613918112,0.7374924411129746,0.8122149774738012,0.8292018168586192,0.9097219885598923,0.4735535179204122,0.5880259691744868,0.5465104156643094,0.3429449907343954,0.6585021869582335,0.17223555657361392,0.8560044691747531,0.0005949464548190663
from_2,RW,sqrt_mahalanobis,decision_tree,0.8174730360107206,0.737961489819397,0.7416611468093057,0.814780431342672,0.8319636150002311,0.9097194058602859,0.48330041956740005,0.5978867841892039,0.5016924327478475,0.3535698279775826,0.6731461839401387,0.19143517380402184,0.8688024182793468,0.00047189184937911267
from_2,RW,log1p_filter_distance,decision_tree,0.815233378775654,0.7338116613918112,0.7374924411129746,0.8122149774738012,0.8292018168586192,0.9097219885598923,0.4735535179204122,0.5880259691744868,0.5465104156643094,0.3429449907343954,0.6585021869582335,0.17223555657361392,0.8560044691747531,0.0005949464548190663
from_3,CV,log_likelihood,decision_tree,0.5035278079180925,0.5816174921740949,0.5170594026387554,0.4957434435619955,0.48416485463477493,0.4736413831236352,0.5933719701578559,0.3103290588106479,0.5113361153192796,0.24587079600507136,0.38681711549689707,0.3248559916737941,0.4120448678002315,0.0007115285411886085
from_3,CV,mahalanobis,decision_tree,0.5448552801194484,0.5055034157950514,0.5103325384889933,0.5224479762708156,0.6151635962423876,0.461914530005964,0.4539194892186282,0.4138804980001417,0.6074222709895868,0.31164469910179043,0.4674376335815926,0.46552513959563696,0.46830890975892614,0.0011000479508081122
from_3,CV,filter_distance,decision_tree,0.4396609446438342,0.42273894403542805,0.33099449882021903,0.2983801905904226,0.5924209235324828,0.0,0.4005625729281743,0.22923335544663503,0.5460478015612114,0.143675499967053,0.124104449825501,0.4299289635813716,0.0,0.0010975363197874245
from_3,CV,sqrt_mahalanobis,decision_tree,0.5894629459607341,0.5636993132801474,0.586648661022481,0.5869776703057435,0.6099608578331398,0.5679664552237542,0.5820186700105492,0.3147828495243493,0.45580341873194485,0.2130659792186335,0.4206705078182429,0.07940964145343707,0.5592687110911747,0.000519585111288636
from_3,CV,log1p_filter_distance,decision_tree,0.4396609446438342,0.42273894403542805,0.33099449882021903,0.2983801905904226,0.5924209235324828,0.0,0.4005625729281743,0.22923335544663503,0.5460478015612114,0.143675499967053,0.124104449825501,0.4299289635813716,0.0,0.0010975363197874245
