filename,cosine_time_sec,haversine_time_sec,geopy_time_sec,haversine_total_m,cosine_total_m,geopy_total_m,haversine_total_diff_m,cosine_total_diff_m,haversine_min_abs_error_m,haversine_max_abs_error_m,haversine_max_overestimation_m,haversine_max_underestimation_m,haversine_mean_error_m,haversine_25p_error_m,haversine_50p_error_m,haversine_75p_error_m,haversine_90p_error_m,haversine_95p_error_m,cosine_min_abs_error_m,cosine_max_abs_error_m,cosine_max_overestimation_m,cosine_max_underestimation_m,cosine_mean_error_m,cosine_25p_error_m,cosine_50p_error_m,cosine_75p_error_m,cosine_90p_error_m,cosine_95p_error_m
1.csv,0.07121450000704499,0.07439460000023246,116.99299349999637,6929213483.370347,6929214931.786676,6934939563.969885,-5726080.599537849,-5724632.183208466,0.0,2486.5716866147704,459.74463295168243,2486.5716866147704,-3.9462233668406586,-0.9640312739352623,-0.019824769141528975,0.0,0.05909338713886143,0.26098725662955174,0.0,2486.5716866091825,459.74463294493034,2486.5716866091825,-3.945225166714632,-0.9640292785267235,-0.019847659805012796,0.0002998369169042725,0.07411748177075028,0.26098496728535825
2.csv,0.035580199997639284,0.0356991000007838,50.588775900003384,85832100965.81905,85832103405.20352,85915337060.30893,-83236094.48988342,-83233655.10540771,0.0,36962.289393795654,36962.289393795654,26497.832965975627,-126.71700847640746,-0.5878467057472108,-0.004462087193354836,0.0,8.45760948913199e-05,0.00374334479312477,0.0,36962.289393795654,36962.289393795654,26497.83296597749,-126.71329480502207,-0.5878464363874656,-0.005049371257084823,0.0,0.0027335107508047185,0.09493529796600342
3.csv,0.11025130000052741,0.10447869999916293,140.65950370000064,1865317360.8187284,1865344321.552683,1868955443.456152,-3638082.6374235153,-3611121.9034688473,0.0,9971.317560622469,9971.317560622469,4172.360063206172,-1.7659266596073482,-0.3223871055009013,0.0,0.0,0.0,0.0,0.0,9971.317560622469,9971.317560622469,4172.360063208966,-1.7528399093602196,-0.3223942218896596,0.0,0.0,0.09493529796600342,0.09493529796600342
4.csv,0.18089689999760594,0.1910862000004272,317.96743029999925,20950358657.09717,20950358820.912365,20944440635.246864,5918021.850307465,5918185.665500641,0.0,14152.269754483365,12989.9245270323,14152.269754483365,1.516181514366515,-0.7348585283425564,-0.01488991926157368,0.0011642095334529756,0.24544117671206322,1.641280405766338,0.0,14152.269754483365,12989.924527034163,14152.269754483365,1.5162234833804507,-0.7348582433685351,-0.014991935586914806,0.0017897775542330407,0.24544139340014226,1.641281403497942
5.csv,0.12205939999694237,0.10783350000565406,136.4707247000042,1865317360.8187284,1865344321.552683,1868955443.456152,-3638082.6374235153,-3611121.9034688473,0.0,9971.317560622469,9971.317560622469,4172.360063206172,-1.7659266596073482,-0.3223871055009013,0.0,0.0,0.0,0.0,0.0,9971.317560622469,9971.317560622469,4172.360063208966,-1.7528399093602196,-0.3223942218896596,0.0,0.0,0.09493529796600342,0.09493529796600342
