metric,title,scheme,status,kind,model,count,mean,variance,std,min,p05,p25,p50,p75,p95,max,display_percentile,display_min,display_max,file
3_status__anomaly__log_likelihood__RW,Логарифм правдоподобия,3_status,anomaly,log_likelihood,RW,45,-19.241906640396905,721.7638129937045,26.865662340498968,-176.44747967877535,-27.833742803101877,-13.417823123272536,-13.370405974638423,-12.21558700561262,-11.07103073634999,-11.067896982020756,95.0,-90.32610801695267,-11.068170287615143,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\RW\3_status\anomaly\log_likelihood\RW.png
3_status__anomaly__mahalanobis__RW,Квадрат расстояния Махаланобиса,3_status,anomaly,mahalanobis,RW,45,12.04491225109437,2957.801611077138,54.385674686236435,0.0,0.0,4.834669420164148e-37,0.004477884157525271,0.03424842444078248,27.77739832843373,330.7591653967263,95.0,0.0,156.82940336067975,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\RW\3_status\anomaly\mahalanobis\RW.png
3_status__anomaly__filter_distance__RW,"Расстояние между измерением и оценкой фильтра, м",3_status,anomaly,filter_distance,RW,45,0.0030904396373988363,0.00016085699848589379,0.012682941239550619,0.0,0.0,0.0,2.479990011964094e-05,0.0006948738668161017,0.0071184321244854055,0.07764759262565057,95.0,0.0,0.036306310390586086,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\RW\3_status\anomaly\filter_distance\RW.png
3_status__anomaly__sqrt_mahalanobis__RW,Корень из квадрата расстояния Махаланобиса,3_status,anomaly,sqrt_mahalanobis,RW,45,0.9954914441733356,11.053909035672056,3.3247419502379514,0.0,0.0,6.953178712045411e-19,0.0669169945344624,0.185063298470503,5.035876605355237,18.186785460787902,95.0,0.0,12.333134936245576,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\RW\3_status\anomaly\sqrt_mahalanobis\RW.png
3_status__anomaly__log1p_filter_distance__RW,log(1 + расстояние между измерением и фильтром),3_status,anomaly,log1p_filter_distance,RW,45,0.003008958493057642,0.00015031535609313435,0.012260316312931504,0.0,0.0,0.0,2.4799592607202145e-05,0.0006946325537523333,0.007090579012202545,0.07478051053004173,95.0,0.0,0.03562144883269116,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\RW\3_status\anomaly\log1p_filter_distance\RW.png
3_status__move__log_likelihood__RW,Логарифм правдоподобия,3_status,move,log_likelihood,RW,220841,-16.261169531451735,1308924.597531869,1144.0824260217744,-493058.1161541462,-13.381361408154353,-13.378622988146773,-13.37491840410684,-13.370405974477556,-11.068642511877984,-11.0678969804122,95.0,-13.382332607219487,-11.068219625527892,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\RW\3_status\move\log_likelihood\RW.png
3_status__move__mahalanobis__RW,Квадрат расстояния Махаланобиса,3_status,move,mahalanobis,RW,220841,6.4514352454600745,5235611.989199211,2288.1459720042362,0.0,0.0,0.0015640050537419031,0.011012181680973766,0.01665074231833042,0.022097619648753643,986084.0754117253,95.0,0.0,0.024095557591635765,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\RW\3_status\move\mahalanobis\RW.png
3_status__move__filter_distance__RW,"Расстояние между измерением и оценкой фильтра, м",3_status,move,filter_distance,RW,220841,0.00016902925179913353,9.768155477592218e-07,0.0009883397936738265,0.0,0.0,9.637002028152592e-05,0.0001578163037185272,0.00018149980351713773,0.0002185524653694206,0.34617972846983913,95.0,0.0,0.0002658564649014166,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\RW\3_status\move\filter_distance\RW.png
3_status__move__sqrt_mahalanobis__RW,Корень из квадрата расстояния Махаланобиса,3_status,move,sqrt_mahalanobis,RW,220841,0.10603722455871253,6.44019135246796,2.537753209527664,0.0,0.0,0.03954750376119715,0.1049389426331987,0.12903775539868328,0.1486526812699779,993.0176611781511,95.0,0.0,0.15522743826925628,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\RW\3_status\move\sqrt_mahalanobis\RW.png
3_status__move__log1p_filter_distance__RW,log(1 + расстояние между измерением и фильтром),3_status,move,log1p_filter_distance,RW,220841,0.0001685831664391555,8.145769867892446e-07,0.0009025391885060973,0.0,0.0,9.63653769894351e-05,0.00015780385203570266,0.00018148333442052775,0.00021852858625852342,0.2972707501464069,95.0,0.0,0.0002658211313337512,C:\Users\svaga\PycharmProjects\statistical_researchs\statistics\classification\from_3\distributions\3\RW\3_status\move\log1p_filter_distance\RW.png
