,precision,recall,f1-score,support
stand,0.623257137437162,0.952998795126958,0.7536381481726548,89636.0
move,0.9786168839838013,0.5974569939458706,0.7419468210432792,220841.0
anomaly,0.0004917566063617776,0.4222222222222222,0.0009823690605449563,45.0
accuracy,0.7000631195213222,0.7000631195213222,0.7000631195213222,0.7000631195213222
macro avg,0.5341219260091083,0.6575593370983502,0.4988557794254931,310522.0
weighted avg,0.8758961689549578,0.7000631195213222,0.74521428807695,310522.0
