,precision,recall,f1-score,support
stand,0.2946219463246784,0.8434669106162702,0.4367037975122237,89636.0
move,0.71875,0.013226710619857725,0.0259754118405549,220841.0
anomaly,0.0005417226781164102,0.6,0.001082468027101792,45.0
accuracy,0.25297080400100475,0.25297080400100475,0.25297080400100475,0.25297080400100475
macro avg,0.3379712230009316,0.4855645404120426,0.15458722579329345,310522.0
weighted avg,0.596216132539013,0.25297080400100475,0.14453361188948574,310522.0
